##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;white;;;;;;;;;X
##;§Y = 208,232,248;orange;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
GrandOffensiveDesc;Darkest Hour reflects the preparation of large scale offensives through the concept of 'Offensive Chits'. These decisions require the allocation of specific resources and grant various bonuses to your units for a short period of time. You should therefore use wisely this unique strategic opportunity.;Darkest Hour simule la prйparation d'opйrations militaires de grande envergure par le concept de 'Grande Offensive'. Requйrant l'allocation de ressources spйcifiques et accordant а vos unitйs un bonus unique, les effets de cette prйparation sont toutefois attйnuйs aprиs un temps. Utilisez donc cette opportunitй stratйgique de maniиre rйflйchie.;Darkest Hour simula la preparazione di offensive su larga scala tramite il concetto di Grande Offensiva. Queste decisioni richiedono l'allocazione di specifiche risorse e forniscono vari bonus alle vostre unitа per un corto periodo di tempo. Dovresti perciт usare con saggezza questa unica opportunitа strategica.;Darkest Hour refleja la preparaciуn de la ofensiva a gran escala a travйs del concepto de 'Offensive Chits'. Estas decisiones requieren la asignaciуn de recursos especнficos y otorgar bonificaciones a diferentes unidades durante un perнodo corto de tiempo. Por lo tanto, se debe aprovechar con prudencia esta oportunidad estratйgica ъnica.;Darkest Hour stellt die Vorbereitung von groЯangelegten Offensiven durch das Konzept 'GroЯe Offensive' dar. Die Entscheidung erfordert die Bereitstellung verschiedener Ressourcen, um dadurch fьr eine begrenzte Zeit Boni fьr die eigenen Einheiten zu erhalten. Diese einzigartige strategische Mцglichkeit sollte aber mit Vorsicht genutzt werden.;Gra Darkest Hour odzwierciedla przygotowania ofensyw na wielk№ skalк poprzez koncepcjк 'Wielkich Ofensyw'. Te decyzje wymagaj№ alokacji odpowiednich zasobуw i dostarczaj№ rozmaitych bonusуw dla Twoich jednostek przez krуtki czas. Musisz wiкc rozwaїnie uїyж tej moїliwoњci planuj№c strategiк swoich poczynaс.;;Darkest Hour воспроизводит подготовку крупных наступательных операций через концепцию 'наступательного порыва'. Эти решения требуют выделения определенных ресурсов, предоставляя на короткий промежуток времени различные бонусы вашим войскам. Поэтому Вы должны очень мудро использовать эту уникальную стратегическую возможность.;;;X
GrandOffensiveName;Offensive Chit;Grande Offensive;Grande offensiva;Offensive Chit;GroЯe Offensive;Wielka Ofensywa;;Наступательный порыв;;;X
GrandOffensiveOverName;The Offensive Chit is over;Fin de la Grande Offensive;La fine della Grande Offensiva;La 'Offensive Chit' ha finalizado;Die groЯe Offensive ist vorьber;Kres Wielkiej Ofensywy nadszedі;;Конец действия решения 'Широкомасштабное наступление';;;X
GrandOffensiveText;Let us smash our enemies!;Dйtruisons nos ennemis !;Distruggiamo i nostri nemici;Vamos a aplastar a nuestros eneigos!;Wir zerschmettern unsere Feinde;Zmieжmy naszych przeciwnikуw z powierzchni ziemi!;;Это позволит нам разгромить врагов !;;;X
##;;;;;;;;;;;X
9000021desc;Creating public works for unemployed is an expensive program that aims at creating useful job for unskilled men. It usually involves using unskilled manual labor jobs on construction projects or in factories for the creation of basic goods, where no particular skills are required. This program, even if expensive, would result not only in reducing the unemployment and therefore pleasing the population, but creating new companies under the control of the government.;Crйer des travaux publics pour les sans-emplois est un programme cher qui vise а la crйation d'emplois utiles pour les personnes sans qualification. Il s'agit gйnйralement d'utiliser la main d'њuvre non qualifiйes а des taches manuelles sur des projets de construction ou des usines produisant des marchandises rudimentaires, oщ il n'y a besoin d'aucune compйtence particuliиre. Bien que ce soit un programme cher, il rйsulterait non seulement en une rйduction du chфmage, et donc en satisfaction pour la population, mais aussi en la crйation de nouvelles entreprises sous le contrфle du gouvernement.;Creare posti di lavoro pubblici per i disoccupati и un programma costoso che mira alla creazione di posti di lavoro utile per le persone non qualificate. Si tratta di solito di lavoro manuale non specializzato in progetti di costruzione o nelle fabbriche per la creazione di beni di prima necessitа, per i quali non siano richieste particolari competenze. Questo programma, anche se costoso, si tradurrebbe non solo nella riduzione della disoccupazione e quindi gradito alla popolazione, ma anche nella creazione di nuove imprese sotto il controllo del governo.;El Ministerio de Obras Pъblicas, es un ambicioso y sobretodo caro programa estatal que busca la creaciуn de empleos para trabajadores sin experiencia, principalmente requiere mano de obra sin experiencia para labores manuales en proyectos de construcciуn, o en la industria, con lo que reducirнa el desempleo y aumentarнa el rendimiento de las empresas estatales, ademбs de satisfacer las necesidades del pueblo.;Aus цffentlichen Mitteln gefцrderte Arbeitsplдtze sind Teil eines Programms, das ungelernten Arbeitslosen sinnvolle Tдtgikeiten verschaffen soll. Diese Tдtigkeiten liegen im Produktionsbereich einfacher Gьter oder bei groЯen Bauvorhaben, die einen hohen Anteil an kцrperlicher Arbeit beinhalten. Auch wenn diese Art der Arbeitsbeschaffung teuer ist, reduziert sie die Arbeitslosigkeit im Land und verbessert dadurch die Stimmung in der gesamten Bevцlkerung.;Tworzenie miejsc pracy w sektorze publicznym jest kosztownym programem, ktуry jest ukierunkowany na tworzenie uїytecznych miejsc pracy dla niewyksztaіconych bezrobotnych. Zazwyczaj oznacza on organizacjк robotnikуw wokуі projektуw konstrukcyjnych lub w fabrykach produkuj№cych proste wytwory, gdzie nie potrzeby specjalistycznych umiejкtnoњci. Program ten, nawet jeњli bкdzie kosztowaі sporo, spowoduje zmniejszenie bezrobocia i tym samym zadowoli ludnoњж, jednoczeњnie stworzy wiele firm pod kontrol№ rz№du.;;Создание общественных рабочих мест для безработных это дорогая программа, которая направлена на создание полезной нагрузки для неквалифицированных людей. Это обычно связано с использованием неквалифицированных рабочих в ручных операциях в строительстве или на заводах, производящих простые товары, где никаких особых навыков не требуется. Эта программа, даже если она дорога, приведет не только к сокращению безработицы и оттого радует население, но и к созданию новых компаний, находящихся под контролем правительства.;;;X
9000021name;Create Public Works;Politique de grands travaux;Creare posti di lavoro pubblici;Crear las Obras Pъblicas;Arbeitsbeschaffungsmassnahmen;Roboty publiczne;;Общественные работы;;;X
9000021text;Public works create growth;La relance par l'emploi public;Posti pubblici creano crescita;Las Obras Publicas generan crecimiento;Arbeitsbeschaffungsmassnahmen schaffen Wachstum;Roboty publiczne generuj№ wzrost;;Общественные Работы создают рост;;;X
9000022desc;Our monetary authority can print new money to solve our budget problems without having to borrow money. However, this may lead to a increase of inflation which could give some problems to our industry.;Notre autoritй monйtaire peut imprimer de nouveaux billets pour rйsoudre nos problиmes de budget sans avoir а emprunter. Ceci pourrait toutefois conduire а une augmentation de l'inflation qui affecterait nos industries.;La nostra autoritа monetaria puт stampare nuova moneta per risolvere i nostri problemi di bilancio, senza dover prendere in prestito denaro. Tuttavia, questo puт portare ad un aumento dell'inflazione che potrebbe dare qualche problema alla nostra industria.;Nuestro Banco Nacional puede imprimir mбs moneda para tapar algunos problemas presupuestarios sin recurrir a prйstamos de dinero. Aun asн, puede llevar a un incremento inflacionario, lo que podrнa ser problemбtico para nuestra industria.;Unsere Zentralbank kann neues Geld in Umlauf bringen und so unsere Haushaltsprobleme lцsen, ohne das wir Kredite aufnehmen mьssen. Andererseits kцnnte das zu einer verstдrkten Inflation fьhren, was unsere Industrie vor einige Probleme stellen kцnnte.;Nasz bank centralny moїe drukowaж pieni№dze, aby pokryж nasz deficyt budїetowy bez potrzeby poїyczania pieniкdzy z zewn№trz. To moїe jednak doprowadziж do wzrostu inflacji i moїe sprawiж pewne problemy naszemu przemysіowi.;;Наши финансисты могут напечатать новые деньги и тем самым решить наши бюджетные проблемы без внешних заимствований. Однако это может привести к увеличению инфляции, которая добавит проблемы нашей промышленности.;;;X
9000022name;Issue Currency;Imprimer de la monnaie;Emettere moneta;Imprimir Moneda;Erhцhung der Geldmenge;Drukowanie pieni№dza;;Эмиссия денег;;;X
9000022text;A more balanced budget;Des sous dans les caisses de l'Etat;Un bilancio piщ equilibrato;Por un presupuesto mas balanceado!;Ein ausgeglichener Haushalt;Lepiej zbilansowany budїet;;Более сбалансированный бюджет;;;X
9000023desc;Devaluation is a reduction in the value of a currency with respect to those goods, services or other monetary units with which that currency can be exchanged. This would make our economy more competitive in foreign markets.;Une dйvaluation est la rйduction de la valeur d'une devise vis-а-vis de ces biens, services ou autres devises avec lesquels cette devise peut кtre йchangйe. Cela rendrait notre йconomie plus compйtitive sur les marches йtrangers.;La svalutazione и una riduzione del valore di una valuta nei confronti di tali beni, servizi o altre unitа monetaria con cui tale moneta puт essere scambiata. Questo renderebbe la nostra economia piщ competitiva sui mercati esteri.;La devaluaciуn es una reducciуn del valor del dinero, con relaciуn a otros bienes, servicios u otras monedas con las que se comercia. Esto puede hacer mбs competitiva a nuestra economнa en el extranjero, pero la hace relativamente mбs frбgil internamente…;Eine Geldentwertung ist die Reduzierung des Wertes einer Wдhrung in Bezug auf die Waren und Dienstleistungen, die mit dieser Wдhrung bezahlt werden. Diese Massnahme macht unsere Industrie auf dem Weltmarkt wettbewerbsfдhiger.;Dewaluacja pieniadza jest redukcj№ wartoњci waluty w odniesieniu do walut innych krajуw. To uczyni nasz№ gospodarkк bardziej konkurencyjn№ na rynkach zagranicznych.;;Девальвация это снижение курса национальной валюты по отношению к иностранным валютам. Девальвация национальной валюты используется правительствами для уменьшения дефицита платежного баланса страны, повышения конкурентоспособности, товаров на мировом рынке, стимулирования внутреннего производства. Девальвация способствует росту экспорта, поскольку экспортер при обмене вырученной иностранной валют ты на свою обесцененную валюту получает девальвационный доход.;;;X
9000023name;Money Devaluation;Dйvaluer la monnaie;Svalutazione del Denaro;Devaluaciуn Monetaria;Geldentwertung;Dewaluacja pieni№dza;;Девальвация валюты;;;X
9000023text;A more competitive economy;Un boost de compйtitivitй;Un'economia piщ competitiva;Por una economнa mas competitiva;Eine wettbewerbsfдhigere Wirtschaft;Bardziej konkurencyjna ekonomia;;Более конкурентоспособная экономика;;;X
9000025desc;By allowing foreign volunteers in our army, we can increase the number of recruits and the quantity of available manpower. However, this decision can also lead to problems as these foreign recruits may have troubles integrating in our armies. Moreover, as foreigners they may not be trusted by other soldiers and this could lower the morale of our units.;En autorisant l'enrфlement de volontaires йtrangers dans notre armйe nous pouvons augmenter le nombre de recrues et la quantitй de main d'њuvre disponible. Cette dйcision peut toutefois crйer des tensions comme les recrues йtrangиres pourraient avoir des problиmes а s'intйgrer dans nos armйes. De plus, en tant qu'йtrangers, nos soldats pourraient ne pas leur faire confiance et cela diminuerait le moral de nos troupes.;Arruolando volontari stranieri nel nostro esercito, possiamo aumentare il numero di reclute e la quantitа di manodopera disponibile. Tuttavia, questa decisione puт portare a problemi;Permitiendo voluntarios extranjeros en nuestro ejйrcito, podemos incrementar el nъmero de recursos humanos disponibles. Pero podrнa traernos problemas si esos nuevos reclutas tienen dificultades para integrarse al ejйrcito y como extranjeros, deberбn ganarse la confianza de nuestros soldados, lo que podrнa afectar la moral de combate…;Wenn wir Auslдndern gestatten, sich unseren Streitkrдften anzuschliessen, erhцhen wir die Zahl der Rekruten. Diese Entscheidung bedeutet aber auch, daЯ diese Auslдnder in unsere Truppen integriert werden mьssen. Sollten diese Auslдnder aufgrund von Hautfarbe, Rasse, Sprache oder Religion nicht integriert werden kцnnen, wьrde das die Moral der Truppe insgesamt schwдchen.;Zezwalaj№c zagranicznym ochotnikуw na pobуr do naszej armii, zwiкkszamy liczbк rekrutуw i iloњж dostкpnej siіy ludzkiej. Z drugiej strony, decyzja moїe prowadziж do napiкж, czкњciej wystкpuj№cych w wielonarodowych siіach zbrojnych. Przybysze z zewn№trz mog№ mieж problemy z aklimatyzacj№ i budow№ wzajemnego zaufania i mog№ obniїaж morale caіych oddziaіуw.;;Допуская иностранных добровольцев в нашу армию, мы сможем увеличить число новобранцев и количество доступных людских ресурсов. Однако это решение также может привести к проблемам, так как эти иностранные новобранцы могут иметь неудобства при интеграции в нашу армию. Кроме того, как иностранцы, им могут не доверять другие солдаты, а это может снизить моральный дух наших подразделений.;;;X
9000025name;Allow Foreign Volunteers;Lйgion Etrangиre;Arruolare volontari stranieri;Permitir Voluntarios Extranjeros;Auslдndische Freiwillige zulassen;Zaproszenie dla zagranicznych ochotnikуw;;Допустить иностранных добровольцев;;;X
9000025text;Long live the Foreign Legion!;Vive la Lйgion Etrangиre !;Viva la legione straniera!;A mi la Legiуn!!!;Lang lebe die Fremdenlegion;Niech їyje Legion Cudzoziemski!;;Слава Иностранному Легиону!;;;X
9000026a;Motorized division;Division motorisйe;Divisione motorizzata;Traer una Divisiуn Motorizada;Motorisierte Division;Dywizja zmotoryzowana;;Моторизованная дивизия;;;X
9000026b;Armor division;Division blindйe;Divisione Corazzata;Comprar unos buenos Tanques;Panzerdivision;Dywizja pancerna;;Танковая дивизия;;;X
9000026c;Interceptors wing;Escadrille d'intercepteurs;Squadrone di Intercettori;Necesitamos Interceptores;Abfangjдger;Eskadra myњliwcуw;;Бригада перехватчиков;;;X
9000026d;Tactical bombers wing;Escadrille de bombardiers;Squadrone di Bomb. Tattici;Como brillan esos Bombarderos Tacticos;Taktische Bomber;Eskadra bombowcуw taktycznych;;Бригада тактических бомбардировщиков;;;X
9000026desc;Purchasing licensed units means equipping our armies with vehicles sold by other countries instead of those produced by our own industry. This is a quick solution to equip new units with materials that our industry is not able to build or doesn't have the time to.;Acheter des unitйs sous licence signifie йquiper nos armйes avec des vйhicules vendus par d'autres pays au lieu qu'ils soient produits dans nos usines. C'est une solution rapide pour йquiper de nouvelles armйes avec du matйriel que notre industrie n'est pas capable ou n'a pas le temps de produire.;Acquistare su licenza, cioи dotare le unitа del nostro esercito con veicoli venduti da altri paesi invece di quelli prodotti dalla nostra industria. Questa и una soluzione rapida per dotare le nuove unitа con materiali che la nostra industria non и in grado, o non ha il tempo, di costruire.;Comprar unidades licenciadas significa equipar a nuestras tropas con equipo extranjero (comprado claro estб), en vez de producirlo en nuestra industria, es una soluciуn rбpida para equiparnos con materiales fuera de nuestro alcance industrial o por si no queremos esperar.;Lizensierte Ausrьstung zu kaufen bedeutet, daЯ wir Ausrьstung einkaufen, um unsere Truppen damit auszurьsten. Diese Entscheidung kann notwendig werden, wenn unsere eigene Industrie diese Ausrьstungsgegenstдnde nicht selber herstellen kann oder einfach mit anderen Aufgaben zu sehr ausgelastet ist.;Zakup licencjonowanego uzbrojenia oznacza moїliwoњж wyposaїenia naszych armii w pojazdy sprzedawane przez inne kraje w miejsce pojazdуw produkcji krajowej. Jest to szybkie rozwi№zanie czкњci problemуw wynikaj№cych z niemoїnoњci zaopatrzenia naszych jednostek w wyposaїenie, ktуre jest zbyt kosztowne lub problematyczne.;;Купить лицензионную технику означает оснастить наши армии вооружением, проданным нам другими странами вместо произведенных нашей промышленностью. Это быстрое решение для оснащения новых подразделений техникой, которую наша промышленность или не может произвести или у нее на это нет времени.;;;X
9000026name;Purchase Licensed Unit;Acheter une unitй sous licence;Acquisto Unitа in licenza;Comprar Unidad Licenciada;Lizensierte Ausrьstung kaufen;Zakup licencjonowanego uzbrojenia;;Купить лицензионную технику;;;X
9000027desc;We can enforce censorship in the press to hold back information from our citizens that may harm our government. Thanks to this we can exert control over the population and prevent free expression that might foment rebellion.;Nous pouvons imposer la censure de la presse pour йtouffer des informations qui pourraient menacer notre gouvernement. Nous pouvons grвce a cela exercer un contrфle sur la population et faire obstacle а la libertй d'expression qui pourrait conduire а une rйbellion.;Siamo in grado di imporre la censura sulla stampa, per trattenere le informazioni che possono danneggiare il nostro governo lontane dai nostri cittadini. Grazie a questo siamo in grado di esercitare il controllo sulla popolazione e impedire la libera espressione che potrebbe fomentare la ribellione.;Podemos reforzar la censura de prensa para evitar la filtraciуn de informaciones que pueden daсar el esfuerzo de Guerra o la estabilidad del gobierno. Gracias a esto nos ahorraremos posibles brotes de rebeliуn pagando con un poco de libre expresiуn.;Wir kцnnen die Pressefreiheit beschneiden, um unseren Bьrgern Zugang zu der Art Informationen zu verweigern, die unserer Regierung schaden wьrden. Auf diese Weise kцnnen wir die KOntrolle ьber unsere eigene Bevцlkerung vergrцssern und so Aufstдnden vorbeugen.;Moїemy wprowadziж cenzurк prasy, aby uchroniж nasz№ ludnoњж przed informacjami, ktуre mog№ zaszkodziж wizerunkowi naszego rz№du. Dziкki temu bкdziemy mogli kontrolowaж nastroje spoіeczne i przeciwdziaіaж szerzeniu fermentu i rebelii.;;Мы можем ввести цензуру прессы для контроля печатающейся информации, которая может повредить нашему правительству. Благодаря этому мы будем способны влиять на население и предотвращать брожение умов, которое может привести к волнениям.;;;X
