#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
RSI_DESC;The Kingdom of Italy was toppled by a socialist revolution in the mid-19th century, winning its freedom from Swabian rule. When the Union of Rome annexed the Italian Republic and incorporated it into the Comintern, the only part of Italy not under the sway of the communists was Lombardy-Istria, which still belonged to Swabia. In 1880 the region gained independence under the rulership of the displaced King of Italy, Guiseppe I Tittoni. The Tittonis have maintained their rule over the Lombard League, maintaining close ties to Germany and planning the day when all of Italy will be reunited under their rule.;;;;;;;;;;X
RUS_DESC;The second major country of the League, Russia, is a Social Democratic Republic with strong roots in the political left. It has a long rivalry with Lithuania going back to the revolutions of 1848 when the nation freed itself of the Lithuanian Czar's rule. After it lost a large stretch of border territory in its last war to German invasion, the country has lurched further to the left. Russia has even begun to build up relations with the Union of Rome, making its future allegiances uncertain. Yet so far, moderate President Chernov has been able to keep Bukharin and his radical socialists in line.;;;;;;;;;;X
SCA_DESC;Isolationist and prosperous, Scandinavia is a relatively free society and has been a leading developer of industry and arms for over a century. Its lack of any serious external threads has served to distance it from the rest of the Empire, and there is open talk of breaking with Germany on the Scandinavian political scene.;;;;;;;;;;X
SPA_DESC;Iberia is a country with a tumultous history, having produced the single most controversional figure in history - the revolutionary Zuhriman. As the leader of the League of Democracies, Iberia's foreign policy has been to support the preservation of the status quo with one hand, while building up its military and arming its Occitanian puppet with the other. Currently governed by a pair of brothers, the immensely popular Rashid II and Prince Ali Azim, Iberia is set to be a major player in the events to come regardless of the outcome.;;;;;;;;;;X
TUR_DESC;Turkestan was formed in the 19th century by Chagatai and Kazakh to face the dangers of the modern world. Having partaken in the destruction of Persia, it has now the unenviable position of sitting between two hostile powers seeking each other's destruction.;;;;;;;;;;X
UAU_DESC;Australiasia was colonised by the British and gained its independence at the turn of the 19th century.;;;;;;;;;;X
USA_DESC;The American Federation has long been a weak state plagued by decentralization and political instability, as well as the constant tampering of its powerful Mazulan neighbour. The rise of John E. Hoover to the presidency, the dissolvement of American democracy and the ushering in of a new fascist state has seemingly cured the nation of those problems, and the utter defeat of Mazula in the North American War has made the government wildly popular. With the American people now firmly behind him, many believe that Hoover will seek to realize his dreams of an american nation stretching from coast to coast.;;;;;;;;;;;x
VIC_DESC;Insular and hostile, the Democratic People's Republic of France is a totalitarian regime ruled over by Communist Party Head Maurize Thorez, whose radical industrialization programs and ideological purges have claimed thousands of French lives. Still, the programs have allowed French industrial output to exceed that of its British neighbour for the first time in centuries, and its new army, formed around fast-moving armored spearheads, is eager for another chance at revenge against the hated Germans.;;;;;;;;;;X
U00_DESC;The Union of Rome, despite its Communist ways, has been a nation the older Great Powers have been able to deal with, and in a few cases even recognize. The Union has foregone European interests in favor of industrialization and expansion eastward, and has emerged strongly from the Great Depression with the world's largest industrial sector. Its system of government is divided into a Consul, elected by the party leads, and the People's Tribune, elected by the broad masses. The veto of the tribunes has served as an effective check on the power of the party and inspired a more moderate line of socialism. Even the strength of the Union economy has not immunized it to the wave of radicalization sweeping the world, and the radical left wing of the party is growing stronger, particularily in Italy where the people long for a rejoining with Lombardy. With Consul Siantos having stated his intentions to resign due to failing health, and elections for People's Tribune coming in 1937, the future path of the Union seems uncertain.;;;;;;;;;;X
U02_DESC;When the ancient Byzantine Empire fell to the communist revolution of the Union of Rome, its exile government managed to seize control of its former colony in India, allying with local elites and inviting greek exiles to settle in India. After several decades of consolidating its power, Imperial India now believes itself ready to challenge the Union for possession of the homeland and reclaim Constantinople, the city of Emperors. While its army is impressive on paper, in reality it lacks the industrial capacity to fight the communists alone, and it seems obvious that the Byzantines need allies, though who they will turn to remains an open question.;;;;;;;;;;X
U05_DESC;The Empire of Jadakal was formed after the Sultan of Asmunakal subdued most of the continent in the 19th century, wiping Jidligrib and Alusal off the map.;;;;;;;;;;X
U09_DESC;After the German War of Unification, Austria was finally forced to submit to Germany's dominance in the Holy Roman Empire. Henceforth Austrian foreign policy would be dictated by Germany. The appearance of the Union of Rome only assured Austria's continued reliance on Germany. Where once the German army was an unloved reminder of submission, now it is an implied guarantee, for Austria shares a long border with the communists.;;;;;;;;;;X
U10_DESC;The Batavian Socialist Republic has been a client of France nearly continuously since the 16th century. After the Stuttgart Congress in the 19th century, it experienced a brief episode of independence, but the end of the century, now Communist France had reasserted control.;;;;;;;;;;X
U14_DESC;The Lombard League, or 'Free Italy' as it likes to style itself, is the only part of the Italian peninsula not under Union rule. It is governed by Guiseppe III Tittoni who actively agitates for war with the Union in the hopes of realizing his claims to all of Italy.;;;;;;;;;;X
U74_DESC;Amir II Yuan, last of the Mongol emperors, rules his country with an iron fist. Threatened not only by the remnants of the old Ming dynasty, he also has to be wary of other the foreign powers at his borders, and the growing interest of Japan for Chinese resources and territory.;;;;;;;;;;X
##;;;;;;;;;;;X
#  Generic Descs for those lacking scenario specific.;;;;;;;;;;;X
##;;;;;;;;;;;X
FRA_DESC;France’s manpower losses in the First World War were proportionally larger than those of any other major belligerent, and this demographiphic catastrophe was reflected in the shortfall of annual army conscripts , the so-called ‘hollow classes’ - of the interwar period. With a revived Germany, a self-aggrandizing Italy, and an increasingly unstable Spain on its borders, France could not afford to accept this military weakness without abandoning its pretensions to Great Power status. To compensate, the nation threw itself into a massive fortified works project on the Franco-German frontier during the early 1930s, and tried to build new diplomatic arrangements with the ‘little entente’ powers of central and eastern Europe. By 1936, this has had mixed results. France’s immediate security problems have been partially resolved by its mighty Maginot Line (but what of the unprotected Belgian border?), and it has warm relations with the Czechs and Poles - and even a developing rapprochement with the Soviet Union. But the Third Republic is a deeply divided nation, with a brittle and unsteady political system, and whether it can still weather a serious challenge for the hegemony of the continent remains to be seen.;Les pertes humaines françaises sont proportionnellement plus importantes que celles subies par les autres puissances belligérantes, l’étendue de ce désastre démographique transparaît dans la pénurie de conscrits annuels (plus communément appelés 'la génération sacrifiée'). Face à la menace que représentent ses pays voisins, à savoir, la renaissance d’une Allemagne revigorée, l’élargissement du territoire occupé par la puissance italienne et l’instabilité du régime espagnol, la France se voit contrainte d’abandonner ses ambitions de superpuissance mondiale. Afin de compenser ses faiblesses militaires, le pays se lance, au début des années 30, dans un projet de fortification des frontières franco-allemandes et essaie d’établir de nouvelles relations diplomatiques avec les puissances d’Europe du centre et de l'est, formant ainsi la 'Petite Entente'. En 1936, les effets de cette politique semblent plutôt mitigés. Les problèmes d’insécurité frontalière sont partiellement résolus depuis l’élaboration de la ligne Maginot (mais que faire alors de la frontière franco-belge, toujours en proie à l’envahisseur étranger ?). Le pays entretient également des relations amicales avec les Tchèques et les Polonais allant même jusqu’à se rapprocher de l’Union Soviétique. Cependant la IIIe République est un Etat profondément divisé, dissimulant un système politique fragile et instable. Il n’est donc pas certain que la France puisse encore parer à la menace hégémonique qui pèse sur le continent européen.;La perdita di parte della forza lavoro francese durante la Prima Guerra Mondiale, fu  proporzionale a quella di qualsiasi altro paese belligerante e questa catastrofe demografica si rifletté nella carenza di chiamati alle armi annuali (le cosiddette 'classi basse') nel periodo fra le due guerre. Con una Germania rivitalizzata, un'Italia che si stava espandendo e una sempre più instabile Spagna ai suoi confini, la Francia non poteva permettersi questa debolezza militare senza abbandonare le sue pretese di status di Grande Potenza. Per rimediare alla situazione, il paese si impegnò in un progetto massiccio di opere fortificate sulla frontiera franco-tedesca, durante i primi anni '30, e tentò di allacciare nuovi rapporti diplomatici con le piccole potenze dell'Europa centrale e dell'est. Nel 1936, tali tentativi portarono a risultati alterni. Gli urgenti problemi di sicurezza della Francia vennero parzialmente risolti dalla poderosa linea Maginot (ma che ne sarebbe stato del confine belga non protetto?), mentre sul fronte estero poteva contare su buoni rapporti con cecoslovacchi e polacchi e persino su un processo in via di sviluppo per riavvicinarsi all'Unione Sovietica. Ma la Terza Repubblica era una nazione profondamente divisa, con un sistema politico fragile e instabile, e bisognava vedere se avrebbe potuto ancora rappresentare una seria sfida per l'egemonia del continente.;Las pérdidas humanas francesas en la Primera Guerra Mundial fueron proporcionalmente más numerosas que las de cualquier otro bando, y esta catástrofe demográfica tuvo su reflejo en el déficit en el reclutamiento anual (las así llamadas 'clases huecas') del periodo de entreguerras. Con una Alemania reactivada, una Italia engrandeciéndose y una España cada vez más inestable en sus fronteras, Francia no podía permitirse esta debilidad militar sin abandonar su pretendido estatus de Gran Potencia. Para compensarlo, a principios de los años 30, la nación se lanzó a un proyecto de fortificaciones en la frontera franco-alemana e intentó alcanzar nuevos acuerdos diplomáticos con las potencias de la 'pequeña entente' de la Europa central y la oriental. Llegado 1936, los resultados habían sido dispares. Los problemas de seguridad inmediatos de Francia se han visto parcialmente resueltos con su imponente Línea Maginot (¿pero qué hay de la desguarnecida frontera con Bélgica?), y mantiene una estrecha relación con checoslovacos y polacos, e incluso un incipiente acercamiento con la Unión Soviética. Pero la Tercera República es una nación profundamente dividida, con un sistema político frágil e inestable, y está por verse si es capaz de soportar un desafío serio por la hegemonía continental.;Frankreichs Menschenverluste im Ersten Weltkrieg waren proportional viel größer als die der anderen großen kriegführenden Mächte, und diese demografische Katastrophe spiegelte sich in der geringeren Anzahl der jährlichen Rekruten – der sogenannten ‘hohlen Klassen’ – in der Zeit zwischen den beiden Kriegen wieder. Mit einem wiederhergestellten Deutschland, einem selbstverherrlichendem Italien und einem zusehends instabileren Spanien konnte Frankreich sich keine militärische Schwäche leisten und wollte seinen Status als „Grande Nation' nicht aufgeben. Um dies zu kompensieren, errichtete das Land in den frühen dreißiger Jahren massive Befestigungsanlagen an der französisch-deutschen Grenze und versuchte, neue diplomatische Absprachen mit den Mächten der ‘kleinen Entente’ in Mittel- und Osteuropa zu treffen. Bis 1936 hatte dies zu gemischten Ergebnissen geführt: Frankreichs direkte Sicherheitsprobleme wurden teilweise durch seine gewaltige Maginot-Linie gelindert (und die unbefestigte belgische Grenze?) und es unterhält freundschaftliche Beziehungen mit den Tschechen und Polen - selbst eine Wiederannäherung mit der Sowjetunion scheint sich zu entwickeln. Aber die Dritte Republik ist eine zutiefst zerstrittene Nation mit einem brüchigen und instabilen politischen System, und es bleibt abzuwarten, ob sie sich noch einer ernsthaften Gefahr in Form einer Hegemonie über den Kontinent entgegenstellen kann.;Francuskie straty w ludziach w czasie pierwszej wojny œwiatowej by³y znacznie wiêksze, ni¿ odniesione przez którekolwiek z pañstw, bior¹cych udzia³ w konflikcie. Ta demograficzna katastrofa objawi³a siê w niedoborze rekrutów do armii w okresie miêdzywojennym. Z odrodzonymi Niemcami, wci¹¿ powiêkszaj¹cymi siê W³ochami i coraz mniej stabiln¹ Hiszpani¹, Francja nie mog³a sobie pozwoliæ na militarn¹ s³aboœæ, jeœli chcia³a zachowaæ swój status mocarstwa. Aby zrekompensowaæ braki ludzkie, Francja we wczesnych latach trzydziestych zdecydowa³a siê rozpocz¹æ budowê ogromnych umocnieñ na granicy z Niemcami i próbowa³a stworzyæ tak zwan¹ 'ma³¹ Ententê', z³o¿on¹ z pañstw Europy Œrodkowej i Wschodniej. Da³o to mieszane rezultaty. Bezpoœrednie problemy bezpieczeñstwa zosta³y czêœciowo rozwi¹zane przez potê¿n¹ liniê Maginota (choæ granica z Belgi¹ pozosta³a niestrze¿ona), wspó³pracê z Czechami i Polsk¹, a nawet ocieplenie stosunków dyplomatycznych ze Zwi¹zkiem Radzieckim. Trzecia Republika jest g³êboko podzielona, jej system polityczny mo¿e run¹æ w ka¿dej chwili i dopiero przysz³oœæ poka¿e, czy podejmie wyzwanie rzucone jej przez III Rzeszê.;;Ëşäñêèå ïîòåğè Ôğàíöèè â Ïåğâîé Ìèğîâîé âîéíå â ïğîïîğöèîíàëüíîì îòíîøåíèè áûëè áîëüøå, ÷åì ó ëşáîé äğóãîé âåëèêîé äåğæàâû, è ıòà äåìîãğàôè÷åñêàÿ êàòàñòğîôà ïğèâåëà ê åæåãîäíîé íåõâàòêå ïğèçûâíèêîâ (òàê íàçûâàåìûå ''ïóñòûå êëàññû'' ìåæâîåííîãî ïåğèîäà). Â óñëîâèÿõ ñîñåäñòâà ñ âîññòàíîâëåííîé Ãåğìàíèåé, ìå÷òàşùåé î âîçâğàùåíèè ğèìñêîãî âåëè÷èÿ Èòàëèåé è òåğÿşùåé âíóòğåííşş ñòàáèëüíîñòü Èñïàíèåé Ôğàíöèÿ íå ìîãëà ïîçâîëèòü ñåáå âîåííóş ñëàáîñòü áåç îòêàçà îò ñòàòóñà âåëèêîé äåğæàâû. ×òîáû êîìïåíñèğîâàòü íåáëàãîïğèÿòíûå ôàêòîğû, â íà÷àëå 1930-õ ãã. ïğàâèòåëüñòâî íà÷àëî ìàñøòàáíûå îáîğîíèòåëüíûå ğàáîòû íà ôğàíêî-íåìåöêîé ãğàíèöå. Êğîìå òîãî, Ôğàíöèÿ ïîïûòàëàñü ñîçäàòü 'Ìàëóş Àíòàíòó' - íîâûé âîåííî-ïîëèòè÷åñêèé ñîşç ñî ñòğàíàìè Öåíòğàëüíîé è Âîñòî÷íîé Åâğîïû. İòî äàëî ïğîòèâîğå÷èâûå ğåçóëüòàòû. Ïğîáëåìà íåïîñğåäñòâåííîé áåçîïàñíîñòè áûëà ÷àñòè÷íî ğåøåíà ïîñëå ñîçäàíèÿ ìîùíîé ëèíèè Ìàæèíî (íî êàê áûòü ñ íåçàùèùåííîé áåëüãèéñêîé ãğàíèöåé?), Ôğàíöèÿ ïîääåğæèâàëà äğóæåñòâåííûå îòíîøåíèÿ ñ ×åõîñëîâàêèåé è Ïîëüøåé è äàæå âîññòàíîâèëà ñîşçíè÷åñêèå îòíîøåíèÿ ñ Ñîâåòñêèì Ñîşçîì. Íî Òğåòüÿ Ğåñïóáëèêà âíóòğåííå ğàñêîëîòà, åå ïîëèòè÷åñêàÿ ñèñòåìà íåóñòîé÷èâà. Áóäóùåå ïîêàæåò, ñìîæåò ëè îíà ïğåòåíäîâàòü íà ãåãåìîíèş íà êîíòèíåíòå.;;;X
ITA_DESC;Italy entered the First World War with high expectations of gaining territory in the Alps and along the Adriatic shoreline from the Austro-Hungarians, and perhaps taking part in the carve-up of the moribund Ottoman Empire. Its actual performance in that war was disappointing, however, and it received less than expected from the Versailles settlement following the Armistice. This further weakened the country’s already unstable parliamentary democracy and paved the way for Benito Mussolini’s famous ‘March on Rome’ in 1922, which helped establish Europe’s first fascist dictatorship. To help bolster the popularity of his autocratic regime Mussolini was pledged to return Italy to Great Power status, to build up formidable land, sea and air forces, and to expand the Italian colonial empire. In 1936 he is poised to conduct his first major step in this campaign, an offensive against the Abyssinians which will (he hopes) remove the ignominious stain of Italy’s 1898 defeat at Adowa. But this attack is bound to be diplomatically controversial, and it is far from clear whether Italy’s modest industrial resources are capable of extended war. The fate of the Italian fascist experiment is uncertain.;L’Italie entre dans la Première Guerre mondiale avec l’espoir de conquérir des territoires austro-hongrois dans les Alpes et le long de l’Adriatique. Idéalement, elle souhaiterait même bénéficier du morcellement de l’Empire ottoman jugé alors comme un territoire moribond. Ses performances militaires se révèlent toutefois très décevantes et les puissances victorieuses se réunissant à Versailles lui cèdent moins de territoires qu’elle ne l’avait espéré. L’issue de cette guerre contribue donc à affaiblir davantage une démocratie en péril, ouvrant la voie, en 1922, à la tristement célèbre 'Marche sur Rome' de Mussolini, qui instaure par la suite le premier régime fasciste dictatorial d’Europe. Afin de faire grimper la cote de popularité de son régime autocratique, Mussolini promet à son peuple de refaire de l’Italie une superpuissance. En 1936, il est prêt à conduire sa première attaque contre l’Abyssinie en espérant que la victoire permettra d’effacer la honte de la défaite italienne à Adoua, en 1898. Mussolini sait pourtant que cette attaque risque d’engendrer des conflits diplomatiques et il n’est pas certain que les modestes ressources industrielles italiennes supportent une guerre prolongée. Le sort de l’Italie fasciste demeure incertain...;L'Italia entrò nella Prima Guerra Mondiale con la speranza di ottenere territori sulle Alpi e lungo la costa adriatica dagli austro-ungarici, e forse di prendere parte all'invasione dell'impero ottomano ormai in declino. Le sue reali prestazioni in quella guerra, furono tuttavia sconcertanti, e la risoluzione di Versailles seguita all'armistizio, assegnò all'Italia molto meno di quanto si aspettava. Ciò contribuì a indebolire ulteriormente la già instabile democrazia parlamentare del paese, e a preparare la strada alla celebre marcia su Roma di Benito Mussolini (1922), che fece da preludio all'insediamento della prima dittatura fascista in Europa. Per accrescere il consenso del suo regime tirannico, Mussolini promise di fare nuovamente dell'Italia una grande potenza, di costruire un paese formidabile, forze aeree e navali, e di espandere l'impero coloniale italiano. Nel 1936, Mussolini ordinò un'offensiva contro l'Abissinia per cancellare la disonorevole sconfitta dell'Italia ad Adua nel 1898, ma quell'attacco ebbe sviluppi diplomatici controversi, e non era affatto chiaro se le modeste risorse industriali italiane fossero in grado di sostenere una guerra su vasta scala. Il destino dell'esperimento fascista italiano era quanto mai incerto.;Italia entró en la Primera Guerra Mundial con grandes esperanzas de arrebatarle territorios en los Alpes y en la costa adriática al Imperio Austro-Húngaro y tal vez participar en la división del moribundo Imperio Otomano. Sin embargo, su actuación en esa guerra fue decepcionante y recibió menos de lo esperado en los acuerdos de Versalles que siguieron al Armisticio. Esto debilitó aún más su ya inestable democracia parlamentaria y abonó el terreno para la famosa 'Marcha sobre Roma' de Benito Mussolini en 1922, que ayudó a establecer la primera dictadura fascista de Europa. Para ayudar a reforzar la popularidad de su régimen autocrático, Mussolini prometió devolverle al país la condición de gran potencia, desarrollar un formidable ejército de tierra, mar y aire, y ampliar el imperio colonial italiano. En 1936 está preparado para dar su primer paso importante en esta campaña: una ofensiva contra los abisinios que eliminará (o eso espera) el ignominioso borrón de la derrota italiana de 1898 en Aduwa. Pero es seguro que este ataque será diplomáticamente controvertido, y no está nada claro que los modestos recursos industriales de Italia estén capacitados para mantener una guerra prolongada. La suerte del experimento fascista italiano es incierta.;Italien griff in den Ersten Weltkrieg mit hohen Erwartungen bezüglich Gebietsübernahmen in den Alpen und entlang der Adria von Österreich-Ungarn ein. Außerdem hoffte es, vielleicht sogar ein Stück vom Kuchen des morschen osmanischen Reiches abzubekommen. Seine tatsächliche Leistung in diesem Krieg war allerdings eher enttäuschend und es bekam im Vertrag von Versailles nach dem Waffenstillstand weit weniger zugesprochen, als es erhofft hatte. Dies schwächte die ohnehin schon belastete parlamentarische Demokratie des Landes noch weiter und bereitete den Weg für Benito Mussolinis berühmten 'Marsch auf Rom' von 1922 vor, der zur Einrichtung Europas erster faschistischer Diktatur führte. Um die Popularität seines autokratischen Regimes zu stärken versprach Mussolini, Italien wieder zu einer Großmacht zu machen, eindrucksvolle Streitkräfte zu Land, See und in der Luft aufzustellen und das italienische Kolonialreich zu erweitern. 1936 machte seine erfolgreiche Offensive gegen die Abessinier die unwürdige Niederlage bei Adowa von 1898 wieder gut, aber der Angriff riss eine gewaltige Kluft zwischen Italien und dem Westen auf. Soll Italien jetzt seinen Hut in den Ring werfen, da sich nun die Kriegswolken über Europa zusammenziehen? Kriegsbeute lockt, aber es ist noch lange nicht klar, ob Italiens bescheidene industrielle Ressourcen einen größeren Krieg tragen können. Das Schicksal des faschistischen Experiments in Italien ist ungewiss.;W³ochy zaanga¿owa³y siê w pierwsz¹ wojnê œwiatow¹ z zamiarem zdobycia austro-wêgierskich terytoriów w Alpach i wzd³u¿ brzegów Adriatyku. Liczy³y te¿ na wziêcie udzia³u w rozbiorze chyl¹cego siê ku upadkowi imperium Ottomañskiego. Jednak oczekiwania te nie zosta³y zrealizowane i W³osi po zakoñczeniu wojny otrzymali na mocy traktatu wersalskiego mniej terenów, ni¿ siê spodziewali. Coraz s³absze pañstwo porzuci³o drogê demokracji w 1922, kiedy to Benito Mussolini poprowadzi³ ‘Marsz na Rzym’ i utworzy³ pierwsz¹ faszystowsk¹ dyktaturê w Europie. Aby wzmocniæ popularnoœæ swego autokratycznego re¿imu, Mussolini obieca³, ¿e W³ochy wkrótce odzyskaj¹ status mocarstwa, rozbudowa³ si³y wojskowe i rozpocz¹³ przygotowania do odzyskania kolonii. W roku 1936 rozpocznie pierwsz¹ wiêksz¹ ofensywê, atak przeciwko Abisyñczykom. Duce ma nadzieje zmazaæ plamê pora¿ki z 1898 roku pod Adowa. Jednak ta operacja mo¿e spotkaæ siê z dyplomatyczn¹ kontr¹ pañstw zachodnich. Nie wiadomo tak¿e, czy s³aby przemys³ bêdzie w stanie udŸwign¹æ trudy wojny. Przysz³oœæ w³oskiego eksperymentu faszystowskiego jest niepewna.;;Èòàëèÿ âñòóïèëà â Ïåğâóş Ìèğîâóş âîéíó â íàäåæäå îòîğâàòü îò Àâñòğî-Âåíãğèè òåğğèòîğèè â Àëüïàõ è íà ïîáåğåæüå Àäğèàòèêè è íå îñòàòüñÿ â ñòîğîíå îò ğàçäåëà îäğÿõëåâøåé Îñìàíñêîé èìïåğèè. Îäíàêî âîåííûå äåéñòâèÿ èòàëüÿíñêîé àğìèè ïğîõîäèëè íåóäà÷íî, è ïî Âåğñàëüñêîìó ìèğó ñòğàíà ïîëó÷èëà ãîğàçäî ìåíüøå, ÷åì îæèäàëà. İòî ğàçî÷àğîâàíèå åùå áîëüøå îñëàáèëî è áåç òîãî íåñòàáèëüíóş ïàğëàìåíòñêóş äåìîêğàòèş â ñòğàíå è ïğèâåëî ê óñïåõó çíàìåíèòîãî ''Ìàğøà íà Ğèì'' Áåíèòî Ìóññîëèíè â 1922 ãîäó è óñòàíîâëåíèş ïåğâîé â Åâğîïå ôàøèñòñêîé äèêòàòóğû. ×òîáû óâåëè÷èòü ïîïóëÿğíîñòü ñâîåãî äåñïîòè÷åñêîãî ğåæèìà, Ìóññîëèíè ïîîáåùàë âåğíóòü Èòàëèè ñòàòóñ âåëèêîé äåğæàâû, ñîçäàòü ìîùíóş àğìèş, ôëîò è âîåííî-âîçäóøíûå ñèëû è ğàñøèğèòü èòàëüÿíñêóş êîëîíèàëüíóş èìïåğèş. Â 1936 ã. îí ãîòîâ ïğåäïğèíÿòü ïåğâûé áîëüøîé øàã – íà÷àòü âîéíó ïğîòèâ Àáèññèíèè, êîòîğàÿ, êàê îí íàäååòñÿ, ñìîåò ïîçîğíîå ïÿòíî ïîğàæåíèÿ Èòàëèè ïğè Àäóå â 1898 ã. Íî ıòî íàïàäåíèå ñîçäàñò áîëüøèå ïğîáëåìû äëÿ èòàëüÿíñêîé äèïëîìàòèè. Êğîìå òîãî, íåÿñíî, ñìîæåò ëè ñëàáàÿ ıêîíîìèêà Èòàëèè âûäåğæàòü ïğîäîëæèòåëüíóş âîéíó. Ñóäüáà èòàëüÿíñêîãî ôàøèñòñêîãî ıêñïåğèìåíòà íàõîäèòñÿ ïîä âîïğîñîì.;;;X
