Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'It must be a peace without victory...Victory would mean peace forced upon the loser, a victor's terms imposed upon the vanquished.';Woodrow Wilson;'Cela doit кtre une paix sans victoire… Une victoire signifierait une paix forcйe avec des termes imposйs par le vainqueur au vaincu.';Woodrow Wilson;'Deve essere una pace senza vittoria... La vittoria vorrebbe dire una pace imposta al perdente, i termini del vincitore imposti allo sconfitto.';Woodrow Wilson;'Debe haber paz sin victoria…La victoria significara una paz forzada sobre el perdedor, son las condiciones que un vencedor impone al vencido.';Woodrow Wilson;Es muss ein Frieden ohne Sieger sein. Sieg wьrde einen fьr den Verlierer erzwungenen Frieden bedeuten, von einem Sieger aufgezwungene Bedingungen fьr einen Besiegten.';Woodrow Wilson;'To musi byж pokуj bez zwyciкstwa… Zwyciкstwo oznaczaіoby pokуj narzucony pokonanym, warunki podyktowane z pozycji siіy.';Woodrow Wilson;;;'Это дожен быть мир без победы… Победа значит, что проигравшего заставили подчиниться победители';Вудро Вильсон
'In a time of war, the law falls silent.';Ciceron;'Si nous ne nous entendons pas, ce qui se dйchainera ici contre la civilisation est inimaginable.';Le Chancelier Brьning а Aristide Briand, 1930;'Le leggi tacciono in tempo di guerra.';Cicerone;'En los tiempos de guerra, las leyes caen silenciosamente.';Ciceron;'In Zeiten des Krieges verstummt das Recht.';Cicero;'W czasie wojny prawo milczy.';Ciceron;;;'Во время войны закон безмолвствует.';Цицерон
'Logistics is the ball and chain of armored warfare.';Heinz Guderian;'La logistique est le maillon et la chaоne de la guerre moderne.';Heinz Guderian;'La logistica и la palla al piede della guerra corazzata.';Heinz Guderian;'La logнstica es la bola y la cadena en la guerra de blindados.';Heinz Guderian;'Logistik ist die Fessel der gepanzerten Kriegsfьhrung.';Heinz Guderian;'Logistyka jest kul№ u nogi wojsk pancernych.';Heinz Guderian;;;'Снабжение - это основа основ мобильной войны.';Хайнц Гудериан
'If you wish for peace, understand war.';Sir Basil Lidell-Hart;'Lйnine nous a laissй un hйritage fantastique, mais nous, ses successeurs, nous avons tout foutu en l'air.';Josef Stalin;'Se desideri la pace, devi comprendere la guerra.';Sir Basil Liddell-Hart;'Si usted desea la paz, entienda la guerra.';Sir Basil Lidell-Hart;'Wer Frieden will, muss Krieg verstehen.';Sir Basil Lidell-Hart;'Jeњli chcesz pokoju, zrozum wojnк.';Sir Basil Lidell-Hart;;;'Хотите мира - поймите войну.';Бэзил Лиделл-Харт
'You may not be interested in war, but war is interested in you.';Leon Trotsky;'La guerre ne vous intйresse peut-кtre pas mais elle s'intйresse а vous.';Leon Trotsky;'Tu puoi non essere interessato alla guerra, ma la guerra и interessata a te.';Leon Trotsky;'Usted puede no estar interesado en la guerra, pero la guerra esta interesada en usted.';Leon Trotsky;'Du selbst magst nicht am Krieg interessiert sein, aber der Krieg interessiert sich fьr dich.';Leon Trotsky;'Moїesz nie interesowaж siк wojn№, ale wojna interesuje siк tob№.';Lew Trocki;;;'Вы не можете быть заинтересованы в войне, но война заинтересована в вас.';Лев Троцкий
'In war, truth is the first casualty.';Eschyle;'La vйritй est la premiиre victime de la guerre.';Echyle;'In guerra, la prima vittima и la veritа.';Eschyle;'En la guerra, la primera baja es la verdad.';Eschyle;'Im Krieg ist die Wahrheit das erste Opfer.';Aischylos;'W czasie wojny, pierwsz№ ofiar№ jest prawda.';Ajschylos;;;'На войне первой гибнет справедливость.';Эсхил
'All wars will be settled by sea power.';Erich Raeder;'Toutes les guerres seront gagnйes par la supйrioritй navale.';Erich Raeder;'Tutte le guerre saranno decise dalla potenza navale.';Erich Raeder;'Todas las guerras se resolverбn por el poder naval.';Erich Raeder;'Alle Kriege werden von der Stдrke auf dem Meer entschieden.';Erich Raeder;'Wszystkie wojny bкd№ siк decydowaж na morzu.';Erich Raeder;;;'Все войны основываются на морской мощи.';Эрих Редер
'It is fatal to enter any war without the will to win it.';General Douglas MacArthur;'C'est une erreur fatale d'entrer dans une guerre sans vouloir la gagner.';Gйnйral Douglas MacArthur;'Entrare in guerra senza la volontа di vincerla и fatale.';Douglas Mac Arthur;'Es mortal entrar en una guerra, sin la voluntad para ganarla.';General Douglas MacArthur;Es ist eine tragische Fehlentscheidung einen Krieg zu beginnen, ohne den Willen zu haben ihn auch zu gewinnen.';Douglas Mac Arthur;'Jest њmiertelnym bікdem zaczynaж wojnк bez woli zwyciкstwa.;Douglas Mac Arthur;;;'Глупо вступать в войну без веры в победу.';Генерал Дуглас Маккартур
'War does not ennoble, it degrades.';Robert Nichols;'La guerre n'anoblit pas, elle dйgrade.';Robert Nichols;'La guerra non nobilita, ma degrada.';Robert Nichols;'La guerra no engrandece, degrada.';Robert Nichols;Krieg adelt nicht, er erniedrigt';Robert Nichols;'Wojna nie nobilituje, ona degraduje.;Robert Nichols;;;'Война не облагораживает, она развращает.';Роберт Николс
'Peace cannot be achieved by force, only by understanding.';Albert Einstein;'La paix ne peut кtre atteinte par la force mais par l'empathie.';Albert Einstein;'La pace non si ottiene con la forza, ma solo con la comprensione.';Albert Einstein;'La paz no debe ser lograda por la fuerza, sino por el entendimiento.';Albert Einstein;'Frieden kann nicht durch Gewalt erreicht werden, nur durch Verstдndnis.';Albert Einstein;'Pokуj nie moїe byж osi№gniкty przy uїyciu siіy, jedynie przez zrozumienie.;Albert Einstein;;;'Мира нельзя достигнуть с помощью силы, только через понимание.';Альберт Эйнштейн
'Four things greater than all things are, Women and Horses and Power and War.';Rudyard Kippling;'Si nous laissons йchapper l'occasion prйsente d'entrer en guerre, nous devrons nous soumettre au diktat amйricain.';Hara Yoshimichi, 5 novembre 1941;'Quattro sono le cose piщ importanti di tutto: Donne e Cavalli e Potere e Guerra.';Rudyard Kipling;'Las cuatro cosas mas grandes que todas las demбs son: las Mujeres, los Caballos, el Poder y la Guerra.';Rudyard Kippling;Die vier Dinge ьber allen anderen sind Frauen, Pferde, Macht und Krieg.';Rudyard Kippling;'S№ cztery rzeczy wiкksze niї wszystkie inne: Kobiety, Konie, Wіadza i Wojna.';Rudyard Kippling;;;'Великие вещи, все, как одна: женщины, лошади, власть и война';Джозеф Редьярд Киплинг 
'A thing is not necessarily true because a man dies for it.';Oscar Wilde;'Qu'un homme meurt pour une cause n'implique pas qu'elle soit juste.';Oscar Wilde;'Una cosa non и necessariamente vera solo perchй un uomo muore per essa.';Oscar Wilde;'Una cosa no tiene necesariamente porque ser cierta solo porque un hombre muera por ello.';Oscar Wilde;'Etwas wird nicht zur Wahrheit nur weil ein Mann dafьr stirbt.';Oscar Wilde;'To їe czіowiek jest w stanie za coњ umrzeж, nie oznacza їe jest to prawda.';Oscar Wilde;;;'Если человек умирает за дело, не факт, что это дело - правое.';Оскар Уайлд
'All warfare is based on deception.';Sun Tzu;'Mettez-vous bien en tкte que l'Allemagne ne prendra jamais d'elle-mкme l'initiative d'attaquer la Russie.';Joseph Staline;'Tutta la guerra и basata sull'ingannare.';Sun Tzu;'Todas las guerras se basan en el engaсo.';Sun Tzu;'Die gesamte Kriegsfьhrung basiert auf Tдuschung.';Sun Tzu;'Wszystkie wojny bazuj№ na zmyleniu przeciwnika.';Sun Tzu;;;'Война - это искуство обмана.';Сунь-Цзы
'In the eyes of empire builders men are not men but instruments.';Napoleon Bonaparte;'Aux yeux des bвtisseurs d'empires, les hommes ne sont pas des hommes mais des instruments.';Napolйon Bonaparte;'Agli occhi del costruttore di imperi, gli uomini non sono uomini ma strumenti.';Napoleone Bonaparte;'A los ojos de los constructores de grandes imperios, los hombres no son hombre sino instrumentos.';Napoleon Bonaparte;In den Augen des Begrьnders eines Imperiums sind Mдnner keine Mдnner sondern nichts als Werkzeuge.';Napoleon Bonaparte;'W oczach budowniczych imperium ludzie nie s№ ludџmi, lecz narzкdziami.';Napoleon Bonaparte;;;'С точки зрения правителей империй люди являются просто инструментом.';Наполеон Бонапарт
'Never do an enemy a small injury.';Niccolт Machiavelli;'N'infligez jamais de petites blessures а un ennemi.';Nicolas Machiavel;'Non fare mai ad un nemico una piccola ferita.';Niccolт Machiavelli;'Nunca hagas un enemigo poco daсado.';Niccolт Machiavelli;'Fьgen einem Gegner nie nur eine leichte Wunde zu.';Niccolт Machiavelli;'Nigdy nie zadawaj przeciwnikowi maіego ciosu.';Niccolт Machiavelli;;;'Никогда не делайте врагу мелкое зло.';Никколо Маккиавелли
'We make war that we may live in peace.';Aristotle;'Nous faisons la guerre pour pouvoir vivre en paix.';Aristote;'Facciamo la guerra per vivere in pace.';Aristotele;'Hacemos la guerra para vivir en paz.';Aristoteles;Wir fьhren Krieg, um in Frieden leben zu kцnnen.';Aristoteles;'Prowadzimy wojnк, by mуc їyж w pokoju.';Arystoteles;;;'Мы сражаемся, чтобы жить в мире.';Аристотель
'The supreme excellence is to subdue the armies of your enemies without even having to fight them...';Sun Tzu;'L'art de la guerre, c'est de soumettre son ennemi sans combattre.';Sun Tzu;'La suprema eccellenza consiste nel soggiogare le armate dei tuoi nemici senza doverle mai combattere.';Sun Tzu;'La excelencia suprema consiste en poder vencer a los ejйrcitos enemigos sin tener que luchar contra ellos...';Sun Tzu;Der kluge Anfьhrer unterwirft die Trupen des Feindes ohne Kampf';Sun Tzu;'Najwyїsz№ doskonaіoњci№ jest pokonanie armii wroga bez potrzeby walki z nimi…';Sun Tzu;;;'Высшим искусством является умение подчинить армию врага, не сражаясь...';Сунь-Цзы
'The real and lasting victories are those of peace, and not of war.';Ralph Waldo Emerson;'Les seules vraies victoires sont celles de la paix, pas de la guerre.';Ralph Waldo Emerson;'Le vittorie reali e durature sono quelle della pace, non della guerra.';Ralph Waldo Emerson;'La victorias reales y duraderas son aquellas de la paz, no de la guerra.';Ralph Waldo Emerson;Die wahren und anhaltenden Siege sind jene des Friedens und nicht des Krieges.';Ralph Waldo Emerson;'Prawdziwe i najbardziej trwaіe zwyciкstwa to te odniesione w warunkach pokoju, nie podczas wojny.';Ralph Waldo Emerson;;;'Настоящие и самые длительные победы принадлежат миру, а не войне.';Ральф Уолдо Эмерсон
'All wars are fought for money.';Socrates;'L'argent est le nerf de la guerre.';Socrate;'Tutte le guerre sono combattute per denaro.';Socrate;'Todas las guerras son por dinero.';Socrates;'Alle Kriege werden des Geldes wegen gefьhrt.';Socrates;'Wszystkie wojny s№ prowadzone dla pieniкdzy.';Sokrates;;;'Все войны ведутся из-за денег.';Сократ
'A merely fallen enemy may rise again, but the reconciled one is truely vanquished.';Johan Christoph Stiller;'Hitler et ses gйnйraux ne sont pas idiots au point de combattre en mкme temps sur deux fronts.';Josef Stalin;'Un nemico semplicemente caduto puт alzarsi nuovamente, ma quello riconciliato и davvero sconfitto.';Johan Christoph Stiller;'Un enemigo derrotado solo puede levantarse de nuevo, pero solo cuando se reconcilia es cuando realmente ha sido derrotado';Johan Christoph Stiller;Ein gestьrzter Gegner mag wieder aufstehen, aber ein versцhnter ist wahrhaftig verschwunden.';Johan Christoph Stiller;'Przeciwnik, ktуry zostaі jedynie pokonany, moїe powstaж ponownie, ale ten ktуry zostaі pogodzony, jest prawdziwie zgіadzony.;Johan Christoph Stiller;;;'Упавший враг может подняться, но примирившийся побежден окончательно.';Джон Кристоф Стиллер
'I know war as few other men now living know it, and nothing to me is more revolting.';Ernest Hemingway;'Soyez rйsolus а ne plus servir et vous serez libres.';Etienne de la Boйtie;'Conosco la guerra come pochi viventi la conoscono e non c'и nulla che mi disgusti di piщ.';Ernest Hemingway;'Yo conozco la guerra como otros pocos hombres que ahora viven la conocieron, y nada para mi es mas desagradable .';Ernest Hemingway;Ich kenne Kriege besser als die meisten Mдnner die heutzutage leben, und nicht ist abstossender.';Ernest Hemingway;'Znam wojnк jak maіo kto z їyj№cych ludzi i nic innego jest dla mnie bardziej elektryzuj№cego.';Ernest Hemingway;;;'Я знаю войну, как немногие другие знают ее. Нет ничего более отвратительного';Эрнест Хэммингуэй
'There is neither rank nor station nor prerogative in the republic of the grave.';John James Ingalls;'А l'issue d'une longue guerre nationale, la victoire bouleverse comme la dйfaite.';Lйon Blum;'Non ci sono nй gradi nй posizioni nй privilegi nella repubblica delle tombe.';John James Ingalls;'No hay ni grados, ni rangos, ni privilegios en la republica de las tumbas.';John James Ingalls;'Es gibt weder Rang noch Status noch Privileg in der Republik der Grдber.';John James Ingalls;'Nie ma stopni, ani zaszczytуw lub wіadzy w republice cmentarza.';John James Ingalls;;;'Мертвые все равны.';Джон Джеймс Ингаллс
'The statesman who yields to war fever... is no longer the master of policy but the slave of unforeseeable and uncontrollable events.';Sir Winston Churchill;'Nous sommes une civilisation qui sait faire la guerre, mais qui ne sait plus faire la paix.';Guglielmo Ferrero;'Lo statista che si arrende alla febbre della guerra... non и piщ padrone della politica ma schiavo di eventi imprevedibili e incontrollabili.';Sir Winston Churchill;El mandatario que cede a la fiebre de la guerra ... ya no es el maestro de la polнtica, sino el esclavo de acontecimientos imprevisibles e incontrolables. ';Sir Winston Churchill;Der Staatsmann welcher der Kriegslust erliegt, hat nicht lдnger die Kontrolle ьber den Kurs, sondern wird zum Sklaven unvorhersehbarer und unkontrollierbarer Geschehnisse.';Sir Winston Churchill;'Czіowiek wіadzy, ktуry zapada na wojenn№ gor№czkк… nie jest juї twуrc№ swej polityki, lecz niewolnikiem nieprzewidywalnych i niekontrolowanych wydarzeс.';Sir Winston Churchill;;;'Государственный деятель, который уступает военной лихорадке уже не деятель, но статист, раб непредвиденых обстоятельств.';Уинстон Черчилль
'War doesn't make boys men, it makes men dead.';Ken Gillespie;'La guerre ne transforme pas les garзons en hommes mais les hommes en cadavres.';Ken Gillespie;'La guerra non trasforma i ragazzi in uomini, ma gli uomini in cadaveri.';Ken Gillespie;'La guerra no convierte a los niсos en hombres, sino a los hombres en muertos.';Ken Gillespie;Krieg macht aus Jungen keine Mдnner, er macht aus Mдnnern Tote.;Ken Gillespie;'Wojna nie czyni z chіopcуw mкїczyzn, ona czyni mкїczyzn martwymi.';Ken Gillespie;;;'Война не делает юношей мужчинами, она их просто убивает.';Кен Гиллеспи
'In war, there are no unwounded soldiers.';Jose Narosky;'De la guerre, aucun soldat ne revient sans blessure.';Jose Narosky;'In guerra non ci sono soldati senza ferite.';Jose Narosky;'En la guerra, no hay soldados sin heridas.';Jose Narosky;'Im Krieg gibt es keine unversehrten Soldaten.';Jose Narosky;'W czasie wojny nie ma їoіnierzy, ktуrzy nie odnieњliby ran.';Jose Narosky;;;'На войне не бывает солдат без ран';Хосе Нароски
'Wars teach us not to love our enemies, but to hate our allies.';W. L. George;'Une guerre entre Europйens est une guerre civile.';Victor Hugo;'La guerra non ci insegna ad amare i nostri nemici, ma ad odiare i nostri alleati.';W. L. George;'La guerra no nos enseсa a amar a nuestros enemigos, sino a odiar a nuestros aliados.';W. L. George;'Kriege lehren uns nicht unsere Gegner zu lieben, sondern unsere Verbьndeten zu hassen.';W. L. George;'Wojny nie ucz№ nas miіoњci do wroga, lecz nienawiњci do sojusznikуw.';W. L. George;;;'Война учит нас не любить наших врагов, а ненавидеть наших союзников.';Уолтер Лайонелл Джордж
'For what can war, but endless war, still breed?';John Milton;'On ne peut abolir la guerre que par la guerre. Pour qu'il n'y ait plus de fusils, il faut prendre le fusil.';Mao Zedong;'Che cosa puт alimentare la guerra se non una guerra senza fine?';John Milton;'їQuй se puede sacar de una guerra, sino una guerra sin fin?';John Milton;'Denn was kann Krieg, der endlosse Krieg, noch anderes erschaffen?';John Milton;'Co moїe jeszcze wynikn№ж z wojny,niekoсcz№cej siк wojny?';John Milton;;;'Для ведутся войны, если они продолжаются бесконечно?';Джон Мильтон
'Politics is the womb in which war develops.';Carl von Clausewitz;'Messieurs, nous n'йcrirons peut-кtre pas l'histoire demain, mais nous changerons certainement la gйographie.';Gйnйral Herbert Plumer, 1917;'La politica и l'utero dove si sviluppa la guerra.';Carl von Clausewitz;'La polнtica es el vientre en el cual se desarrolla la guerra.';Carl von Clausewitz;'Politik ist der Schoss in dem Krieg erwдchst.';Carl von Clausewitz;'Polityka jest іonem, w ktуrym rozwija siк wojna.';Carl von Clausewitz;;;'Политик это та дрянь, из которой вырастает война.';Карл фон Клаузевиц
'Force is all-conquering, but its victories are short-lived.';Abraham Lincoln;'L'anarchie ramиne toujours au pouvoir absolu.';Napolйon Bonaparte;'La forza puт conquistare tutto, ma le sue vittorie sono brevi.';Abraham Lincoln;'La fuerza todo lo conquista, pero sus victorias no son duraderas.';Abraham Lincoln;'Mit Gewalt kann alles erobert werden, aber es ist nie mehr als ein kurzer Sieg.';Abraham Lincoln;'Siіa pokona wszystko, ale jej zwyciкstwa trwaj№ krуtko.';Abraham Lincoln;;;'Сила может все, но ее победы коротки.';Абрахам Линкольн
'Nations, like individuals, are punished for their transgressions.';Ulysses S. Grant;'Le nationalisme est une maladie infantile. C'est la rougeole de l'humanitй.';Albert Einstein;'Le nazioni, come gli individui, sono punite per le loro violazioni.';Ulysses S. Grant;'Las naciones, como los individuos, estбn siendo castigadas por sus transgresiones.';Ulysses S. Grant;Nationen, genau wie auch Individuen, werden fьr ihre Ьbertretungen bestraft.';Ulysses S. Grant;'Narody, jak pojedyncze osoby, s№ karane za swoje wystкpki.';Ulysses S. Grant;;;'Нации, как и обычные люди, платят за свои грехи.';Улисс Грант
'There is nothing so likely to produce peace as to be well prepared to meet the enemy.';George Washington;'La guerre n'est pas une aventure. La guerre est une maladie. Comme le typhus.';Antoine de Saint-Exupйry;'Niente и piщ probabile di portare la pace che essere ben preparati ad incontrare il nemico.';George Washington;'No hay nada mejor para conseguir la paz, que ir bien preparado a la reuniуn con tu enemigo.';George Washington;Es gibt nichts das so sicher Frieden produziert, wie darauf vorbereitet zu sein dem Gegner entgegenzutreten.';George Washington;'Nic nie jest w stanie lepiej zachowaж pokoju jak dobre przygotowanie do zmierzenia siк z przeciwnikiem.';George Washington;;;'Ничто не хранит мир дольше, чем готовность встретить неприятеля.';Джордж Вашингтон
'The world is a dangerous place, not because of those who do evil, but because of those who look on and do nothing.';Albert Einstein;'Le monde est un endroit dangeureux, pas du fait des hommes qui rйpandent le mal, mais du fait de ceux qui observent et ne font rien.';Albert Einstein;'Il mondo и un posto pericoloso, non a causa di coloro che compiono il male, ma di coloro che guardano e non fanno niente.';Albert Einstein;'El mundo es un lugar peligroso, no por aquellos que hacen el mal, sino por aquellos que lo ven y permanecen impasivos.';Albert Einstein;Die Welt ist ein gefдhrlicher Ort, aber nicht wegen jenen die bцses tun, sondern wegen jenen die ihnen dabei zuschauen und nichts tun.';Albert Einstein;'Њwiat jest niebezpiecznym miejscem, nie z powodu ludzi czyni№cych zіo, ale z powodu tych co patrz№ i nie reaguj№.';Albert Einstein;;;'Мир это опасное место не из-за тех, кто творит зло, а из-за тех, кто смотрит на это и ничего не делает.';Альберт Эйнштейн
'Either war is obsolete or men are.';R. Buckminster Fuller;'La guerre est obsolиte ou alors les hommes le sont.';R. Buckminster Fuller;'O la guerra и obsoleta oppure lo sono gli uomini.';R. Buckminster Fuller;'Las guerras son tan antiguas como el hombre.';R. Buckminster Fuller;'Entweder Krieg ist veraltet oder Menschen sind es.';R. Buckminster Fuller;'Albo wojna jest przestarzaіa, albo ludzie tacy s№.';R. Buckminster Fuller;;;'Или война исчезнет или исчезнут люди.';Ричард Бакминстер Фуллер
'There is no glory in battle worth the blood it costs.';Dwight D. Eisenhower;'Il n'y a pas de gloire sur le champ de bataille qui vaille le sang qu'elle coыte.';Dwight D. Eisenhower;'Non c'и gloria in battaglia che valga il sangue che essa costa.';Dwight D. Eisenhower;'No hay gloria en una batalla que pueda compensar la sangre derramada.';Dwight D. Eisenhower;Es gibt keinen Ruhm im Sieg der das Blut wert ist, welches vergossen wurde, um ihn zu erringen.';Dwight D. Eisenhower;'Їadna chwaіa wojenna nie jest warta ceny krwi, jak№ trzeba zapіaciж.';Dwight D. Eisenhower;;;'Нет чести в победе, если были у нас потери.';Дуайт Эйзенхауэр
'In peace the sons bury their fathers, but in war the fathers bury their sons.';Croesus;'En temps de paix, les fils enterrent leurs pиres. En temps de guerre, ce sont les pиres qui enterrent leurs fils.';Crйsus;'In pace i figli seppelliscono i padri, ma in guerra i padri seppelliscono i figli.';Creso;'En tiempos de paz los hijos entierran a sus padres, pero en las guerras los padres entierran a sus hijos.';Croesus;'Im Frieden begraben Sцhne ihre Vдter, doch im Kriegen begraben die Vдter ihre Sцhne.';Croesus;'W czasie pokoju synowie grzebi№ swoich ojcуw, lecz podczas wojny to ojcowie grzebi№ swoich synуw.';Krezus;;;'Во время мира сыновья хоронят своих отцов. На войне все наоборот.';Крез
