AFG;Ruling Cabinet - Start;Name;{pp;;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
155052;Chief of Staff;Nasirullah Husain;43;SC;School of Fire Support;Medium;M54019;X
155053;Chief of Staff;Gholam Wali;44;SC;School of Manoeuvre;Medium;M54063;X
155054;Chief of Army;Renato Bardolucci;37;FA;Armoured Spearhead Doctrine;Medium;M54065;X
155055;Chief of Army;Asadullah Seraj Khan;39;SC;Elastic Defence Doctrine;Medium;M54031;X
155056;Chief of Army;Wazir Akbar Khan;42;SC;Static Defence Doctrine;Medium;M54018;X
155057;Chief of Army;Gholam Wali;43;SC;Guns and Butter Doctrine;Medium;M54063;X
155058;Chief of Army;Nasirullah Husain;45;PA;Decisive Battle Doctrine;Medium;M54019;X
155059;Chief of Navy;Muhammed Hashim;39;SC;Base Control Doctrine;Medium;M54002;X
155060;Chief of Navy;Mohammed Etemadi Khan;43;SC;Indirect Approach Doctrine;Medium;M54016;X
155061;Chief of Navy;Ali Muhammed Khan;44;SC;Power Projection Doctrine;Medium;M54020;X
155062;Chief of Navy;Nasirullah Husain;45;PA;Decisive Naval Battle Doctrine;Medium;M54019;X
155063;Chief of Navy;Shah Wali Khan;46;PA;Open Seas Doctrine;Medium;M54042;X
155064;Chief of Air Force;Gholam Wali;37;FA;Vertical Envelopment Doctrine;Medium;M54063;X
155065;Chief of Air Force;Shah Wali Khan;38;FA;Carpet Bombing Doctrine;Medium;M54042;X
155066;Chief of Air Force;Feruccio Serafini;39;FA;Air Superiority Doctrine;Medium;M54038;X
155067;Chief of Air Force;Muhammed Zahir;39;SC;Army Aviation Doctrine;Medium;M54009;X
155068;Chief of Air Force;Ali Muhammed Khan;45;PA;Naval Aviation Doctrine;Medium;M54020;X
155069;Head of State;Amanullah;19;PA;Resigned Generalissimo;High;M54011;X
155070;Head of Government;Muhammed Ghobar;33;PA;Backroom Backstabber;High;M54012;X
155071;Minister of Armament;Abdul Hadi Dawai;33;PA;Laissez-Faire Capitalist;Medium;M54014;X
155072;Foreign Minister;Mohammed Maiwandwal;51;PA;Ideological Crusader;Medium;M54080;X
