BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
160081;Head of Military Intelligence;Nuhaid Haddad;45;ML;Political Specialist;High;M34143;X
160082;Head of Military Intelligence;Yasar Hanania;43;SC;Dismal Enigma;Medium;M34144;X
160083;Head of Military Intelligence;Khaldoon Malouf;37;FA;Political Specialist;Medium;M34045;X
160084;Head of Military Intelligence;Salah al Din Tannous;44;FA;Logistics Specialist;High;M34130;X
160085;Chief of Staff;Abdul-Ba'ith Handal;43;LWR;School of Manoeuvre;Medium;M34037;X
160086;Chief of Staff;Rabah Basara;39;ST;School of Mass Combat;Undying;M34051;X
160087;Chief of Staff;Qutuz Boutros;45;SD;School of Mass Combat;Medium;M34031;X
160088;Chief of Staff;Mohammad Ghannam;37;ML;School of Fire Support;Medium;M34027;X
160089;Chief of Staff;Mundhir Kassab;39;ML;School of Defence;Medium;M34154;X
160090;Chief of Staff;Abdul-Hamid Hajjar;43;ML;School of Manoeuvre;Medium;M34155;X
160091;Chief of Staff;Diya al Din Nazari;45;ML;School of Mass Combat;Medium;M34025;X
160092;Chief of Staff;Yahya Koury;43;SC;School of Mass Combat;Medium;M34011;X
160093;Chief of Staff;Abdul-Hasib Atiyeh;45;SC;School of Defence;High;M34008;X
160094;Chief of Staff;Nabeel Maalouf;37;FA;School of Psychology;Medium;M34047;X
160095;Chief of Staff;Hani Cham;43;FA;School of Mass Combat;Medium;M34161;X
160096;Chief of Army;Yahya Koury;37;LWR;Static Defence Doctrine;Medium;M34011;X
160097;Chief of Army;Ashraf Sabbag;43;LWR;Elastic Defence Doctrine;Very Low;M34058;X
160098;Chief of Army;Halim Aswad;41;ST;Guns and Butter Doctrine;High;M34165;X
160099;Chief of Army;Abdul-Ba'ith Handal;39;SD;Armoured Spearhead Doctrine;Medium;M34037;X
160100;Chief of Army;Qutuz Boutros;45;SD;Elastic Defence Doctrine;Medium;M34031;X
160101;Chief of Army;Mohammad Ghannam;37;ML;Decisive Battle Doctrine;Medium;M34027;X
160102;Chief of Army;Mundhir Kassab;39;ML;Static Defence Doctrine;Medium;M34154;X
160103;Chief of Army;Abdul-Hamid Hajjar;43;ML;Armoured Spearhead Doctrine;Medium;M34155;X
160104;Chief of Army;Diya al Din Nazari;45;ML;Elastic Defence Doctrine;Medium;M34025;X
160105;Chief of Army;Aban Qureshi;43;SC;Guns and Butter Doctrine;High;M34018;X
160106;Chief of Army;Yahya Koury;45;SC;Static Defence Doctrine;Medium;M34011;X
160107;Chief of Army;Hani Cham;37;FA;Guns and Butter Doctrine;Medium;M34161;X
160108;Chief of Army;Nabeel Maalouf;43;FA;Decisive Battle Doctrine;Medium;M34047;X
160109;Chief of Navy;Saif Abboud;37;LWR;Indirect Approach Doctrine;Very Low;M34059;X
160110;Chief of Navy;Ramzi Isa;39;SD;Power Projection Doctrine;Low;M34039;X
160111;Chief of Navy;Zubair Kouri;37;ML;Base Control Doctrine;Medium;M34029;X
160112;Chief of Navy;Faysal Halabi;43;SC;Open Seas Doctrine;High;M34019;X
160113;Chief of Navy;Khalil al Allah Shalhoub;45;SC;Decisive Naval Battle Doctrine;High;M34182;X
160114;Chief of Navy;Adnan Zogby;37;FA;Decisive Naval Battle Doctrine;Medium;M34049;X
160115;Chief of Air Force;Khalaf Cham;43;LWR;Air Superiority Doctrine;Medium;M34040;X
160116;Chief of Air Force;Bayhas Asghar;39;ST;Naval Aviation Doctrine;Very High;M34060;X
160117;Chief of Air Force;Qusay Almasi;44;ST;Vertical Envelopment Doctrine;Very High;M34187;X
160118;Chief of Air Force;Shihab Bishara;37;ML;Vertical Envelopment Doctrine;Medium;M34030;X
160119;Chief of Air Force;Tahir Hanania;43;SC;Army Aviation Doctrine;Medium;M34020;X
160120;Chief of Air Force;Naji Bitar;45;SC;Army Aviation Doctrine;Medium;M34021;X
160121;Chief of Air Force;Ihtisham Handal;37;FA;Carpet Bombing Doctrine;Very High;M34050;X
160122;Head of State;Humam Fakhoury;45;SC;Popular Figurehead;High;M34104;X
160123;Foreign Minister;Fakhr al Din Malouf;33;SC;Great Compromiser;Medium;M34013;X
160124;Head of State;Namir Kouri;51;SC;Die-hard Reformer;High;M34001;X
160125;Head of State;Muhannad Totah;51;SD;Benevolent Gentleman;High;M34083;X
160126;Head of Government;Zuhayr Quraishi;51;SC;Silent Workhorse;High;M34004;X
160127;Head of Government;Muhannad Totah;51;SD;Naive Optimist;High;M34083;X
160128;Foreign Minister;Alim Mansour;51;SD;Biased Intellectual;Medium;M34035;X
160129;Minister of Armament;Siraj al Din Ganem;51;SC;laissez-faire capitalist;Medium;M34200;X
160130;Minister of Armament;Abdul-Khaliq Saliba;51;SD;Resource Industrialist;Medium;M34201;X
160131;Minister of Security;Shadi Almasi;51;SC;Compassionate Gentleman;Medium;M34202;X
160132;Minister of Security;Abdul-Wakil Bitar;51;SD;Crime Fighter;Medium;M34203;X
160133;Head of Military Intelligence;Fakhr al Din Malouf;51;SC;Political Specialist;High;M34013;X
160134;Head of Military Intelligence;Abdul-Wakil Bitar;51;SD;Dismal Enigma;High;M34203;X
160135;Chief of Staff;Sadiq Abadi;51;SC;School of Manoeuvre;Medium;L31091;X
160136;Chief of Army;Abdul-Nasser Moghadam;51;SC;Decisive Battle Doctrine;Medium;L31012;X
160137;Chief of Air Force;Abdul-Muhaimin Guirguis;45;SC;Air Superiority Doctrine;Medium;L31078;X
