IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
125030;Foreign Minister;Michael O'Rafferty;1937;SD;The Cloak N Dagger Schemer;High;M25052;X
125031;Foreign Minister;Thomas Johnson;1941;SD;Ideological Crusader;Very High;M25042;X
125032;Foreign Minister;William Norton;1944;SD;Apologetic Clerk;High;M25044;X
125033;Foreign Minister;P.A. Mulcahy;1947;ML;General Staffer;High;M25010;X
125034;Foreign Minister;W.T. Cosgrave;1933;SC;Biased Intellectual;Undying;M25046;X
125035;Foreign Minister;Kevin O'Higgins;1937;SC;Ideological Crusader;High;M25058;X
125036;Foreign Minister;Richard Mulcahy;1941;SC;Apologetic Clerk;Undying;M25039;X
125037;Foreign Minister;John A. Costello;1944;SC;Great Compromiser;High;M25048;X
125038;Foreign Minister;Sean MacBride;1947;SC;Iron Fisted Brute;High;M25061;X
125039;Foreign Minister;Oliver J. Flanagan;1933;PA;Biased Intellectual;Low;M25011;X
125040;Foreign Minister;Jim Larkin sr.;1933;LE;Iron Fisted Brute;Low;M25021;X
125041;Foreign Minister;Bill Gannon;1941;LWR;Ideological Crusader;High;M25023;X
125042;Minister of Armament;Seán Lemass;1933;SD;Resource Industrialist;High;M25033;X
125043;Minister of Armament;William Gallacher;1937;SD;Air Superiority Proponent;High;M25066;X
125044;Minister of Armament;Sean Murray;1939;SD;Air to Ground Proponent;High;M25026;X
125045;Minister of Armament;Sean Lester;1943;SD;Battle Fleet Proponent;High;M25068;X
125046;Minister of Armament;Cecil Lavery;1944;SD;Administrative Genius;High;M25069;X
125047;Minister of Armament;Patrick O'Brien;1947;SD;Tank Proponent;High;M25070;X
125048;Minister of Armament;Douglas Hyde;1933;ML;Military Entrepreneur;High;M25035;X
125049;Minister of Armament;Seán T. O'Ceallaigh;1939;ML;Military Entrepreneur;High;M25036;X
125050;Minister of Armament;Frank Aiken;1944;ML;Resource Industrialist;High;M25074;X
125051;Minister of Armament;Edmund Noel Mulcahy;1947;ML;Theoretical Scientist;High;M25075;X
125052;Minister of Armament;Frank McDermott;1933;SC;Strategic Air Proponent;High;M25076;X
125053;Minister of Armament;John A. Costello;1937;SC;Air to Ground Proponent;High;M25077;X
125054;Minister of Armament;Richard Mulcahy;1939;SC;Military Entrepreneur;High;M25039;X
125055;Minister of Armament;Seán Moylan;1941;SC;Infantry Proponent;High;M25079;X
125056;Minister of Armament;Patrick Lynch;1942;SC;Submarine Proponent;High;M25080;X
125057;Minister of Armament;John O'Byrne;1944;SC;laissez-faire capitalist;High;M25081;X
125058;Minister of Armament;Patrick McGilligan;1947;SC;Resource Industrialist;High;M25082;X
125059;Minister of Armament;Donal Brackley;1933;PA;Battle Fleet Proponent;High;M25014;X
125060;Minister of Armament;Eoin O'Duffy;1941;FA;Infantry Proponent;High;M25018;X
125061;Minister of Armament;James Conolly;1933;LWR;Administrative Genius;High;M25024;X
125062;Minister of Armament;James Larkin jr.;1941;LWR;Air Superiority Proponent;Very High;M25022;X
125063;Minister of Armament;Bill Gannon;1942;LE;Tank Proponent;Very Low;M25023;X
125064;Minister of Security;Alasdair McCabe;1933;SD;Back Stabber;High;M25032;X
125065;Minister of Security;Jack Thomas;1937;SD;Man of the People;High;M25089;X
125066;Minister of Security;James Geoghegan;1941;SD;Silent Lawyer;High;M25090;X
125067;Minister of Security;Edward J. Phelan;1942;SD;Prince of Terror;High;M25091;X
125068;Minister of Security;Cearbhall O'Dalaigh;1944;SD;Compassionate Gentleman;High;M25092;X
125069;Minister of Security;Kevin Dixon;1947;SD;Efficient Sociopath;High;M25093;X
125070;Minister of Security;Gerald Boland;1939;ML;Crime Fighter;High;M25006;X
125071;Minister of Security;Eoin MacNeill;1933;SC;Efficient Sociopath;High;M25038;X
125072;Minister of Security;John W. Dulanty;1937;SC;Crime Fighter;High;M25097;X
125073;Minister of Security;Frank McDermott;1938;SC;Man of the People;High;M25076;X
125074;Minister of Security;Ludwig Bieler;1941;SC;Prince of Terror;High;M25099;X
125075;Minister of Security;Kevin Haugh;1944;SC;Silent Lawyer;High;M25100;X
125076;Minister of Security;Sean MacEoin;1947;SC;Compassionate Gentleman;High;M25028;X
125077;Minister of Security;Eamonn Broy;1933;FA;Crime Fighter;High;M25015;X
125078;Minister of Security;Bill Scott;1933;LE;Man of the People;High;M25025;X
125079;Minister of Security;Betty Sinclair;1939;LE;Back Stabber;High;M25104;X
125080;Head of Military Intelligence;Denis McCullough;1933;SD;Naval Intelligence Specialist;Medium;M25105;X
125081;Head of Military Intelligence;Joseph Conolly;1937;SD;Political Specialist;High;M25106;X
125082;Head of Military Intelligence;Padraig O'Connor;1941;SD;Industrial Specialist;High;M25107;X
125083;Head of Military Intelligence;Hugh Kennedy;1947;SD;Technical Specialist;High;M25108;X
125084;Head of Military Intelligence;Frank Aiken;1933;ML;Industrial Specialist;High;M25074;X
125085;Head of Military Intelligence;Dan McKenna;1938;ML;Technical Specialist;High;M25110;X
125086;Head of Military Intelligence;Oscar Traynor;1939;ML;Logistics Specialist;High;M25111;X
125087;Head of Military Intelligence;Jack Lynch;1947;ML;Political Specialist;High;M25112;X
125088;Head of Military Intelligence;Liam Archer;1933;SC;Dismal Enigma;High;M25113;X
125089;Head of Military Intelligence;Joseph Walshe;1941;SC;Industrial Specialist;High;M25114;X
125090;Head of Military Intelligence;Thomas Teevan;1944;SC;Naval Intelligence Specialist;High;M25115;X
125091;Head of Military Intelligence;Sean MacEoin;1947;SC;Political Specialist;High;M25028;X
125092;Head of Military Intelligence;Donal Brackley;1933;FA;Industrial Specialist;High;M25014;X
125093;Head of Military Intelligence;Patrick Sweeney;1939;FA;Dismal Enigma;Medium;M25012;X
125094;Head of Military Intelligence;Sean Murray;1933;LE;Naval Intelligence Specialist;High;M25026;X
125095;Head of Military Intelligence;Betty Sinclair;1939;LE;Technical Specialist;High;M25104;X
125096;Chief of Staff;Norman Devlin;1933;SD;School of Manoeuvre;Very Low;M25121;X
125097;Chief of Staff;Seán O'Grady;1944;SD;School of Psychology;High;M25122;X
125098;Chief of Staff;Michael Brennan;1933;ML;School of Defence;High;M25123;X
125099;Chief of Staff;Dan Bryan;1939;ML;School of Fire Support;High;M25124;X
125100;Chief of Staff;Dan McKenna;1942;ML;School of Mass Combat;High;M25125;X
125101;Chief of Staff;Richard Mulcahy;1933;SC;School of Psychology;High;M25126;X
125102;Chief of Staff;Conor Maguire;1941;SC;School of Mass Combat;High;M25127;X
125103;Chief of Staff;Liam Archer;1947;SC;School of Fire Support;High;M25113;X
125104;Chief of Staff;Hubert de la Poer Gough;1933;PA;School of Mass Combat;High;M25017;X
125105;Chief of Staff;Padraig O'Connor;1933;LE;School of Psychology;High;M25027;X
125106;Chief of Staff;Frank Lynch;1941;LWR;School of Mass Combat;High;M25131;X
125107;Chief of Army;Cecil Lavery;1933;SD;Decisive Battle Doctrine;High;M25069;X
125108;Chief of Army;William Norton;1941;SD;Guns and Butter Doctrine;High;M25044;X
125109;Chief of Army;Emmett Dalton;1947;ML;Elastic Defence Doctrine;High;M25134;X
125110;Chief of Army;Frank Fahy;1933;ML;Static Defence Doctrine;High;M25031;X
125111;Chief of Army;M.J. Costello;1937;ML;Elastic Defence Doctrine;High;M25007;X
125112;Chief of Army;Liam Archer;1933;SC;Armoured Spearhead Doctrine;High;M25113;X
125113;Chief of Army;Eoin O'Duffy;1933;FA;Elastic Defence Doctrine;High;M25138;X
125114;Chief of Army;Seán MacEoin;1933;LWR;Decisive Battle Doctrine;High;M25028;X
125115;Chief of Navy;A.T. Lawlor;1933;SD;Open Seas Doctrine;High;M25140;X
125116;Chief of Navy;S. O'Muiris;1941;SD;Decisive Naval Battle Doctrine;High;M25141;X
125117;Chief of Navy;Seán MacEntee;1933;ML;Open Seas Doctrine;High;M25004;X
125118;Chief of Navy;Thomas Derrig;1941;ML;Power Projection Doctrine;High;M25143;X
125119;Chief of Navy;Seán T. O'Ceallaigh;1944;ML;Base Control Doctrine;High;M25036;X
125120;Chief of Navy;A.H.J. Jerome;1947;ML;Indirect Approach Doctrine;High;M25145;X
125121;Chief of Navy;John O'Byrne;1933;SC;Power Projection Doctrine;High;M25081;X
125122;Chief of Navy;Eamonn Broy;1933;FA;Power Projection Doctrine;High;M25015;X
125123;Chief of Navy;William McCullough;1933;LWR;Decisive Naval Battle Doctrine;High;M25029;X
125124;Chief of Air Force;Cearbhall O'Dalaigh;1933;SD;Vertical Envelopment Doctrine;High;M25092;X
125125;Chief of Air Force;M.J. Costello;1933;ML;Army Aviation Doctrine;High;M25007;X
125126;Chief of Air Force;Oscar Traynor;1939;ML;Vertical Envelopment Doctrine;High;M25152;X
125127;Chief of Air Force;Charles Casey;1941;ML;Air Superiority Doctrine;High;M25153;X
125128;Chief of Air Force;W. Delamere;1944;ML;Naval Aviation Doctrine;High;M25154;X
125129;Chief of Air Force;H.T. Green;1933;SC;Naval Aviation Doctrine;High;M25009;X
125130;Chief of Air Force;P. Quinn;1944;SC;Carpet Bombing Doctrine;High;M25156;X
125131;Chief of Air Force;Jack White;1933;FA;Army Aviation Doctrine;High;M25020;X
125132;Chief of Air Force;Pieras Beaslai;1933;LWR;Air Superiority Doctrine;High;M25030;X
125133;Head of State;Seán T. O'Ceallaigh;1947;SC;Autocratic Charmer;High;M25036;X
125134;Foreign Minister;Frank Aiken;1951;ML;Great Compromiser;High;M25074;X
125135;Minister of Armament;Oscar Traynor;1939;ML;Infantry Proponent;High;M25111;X
125136;Minister of Armament;Kevin O'Higgins;1948;SC;Military Entrepreneur;High;M25058;X
125155;Chief of Staff;Oscar Traynor;1939;ML;School of Mass Combat;High;6070;x
