U73;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1180114;Chief of Navy;E.H. Cole;42;NS;Open Seas Doctrine;High;M1143;x
1180115;Chief of Navy;Fred Copeman;36;ST;Indirect Approach Doctrine;High;M1029;x
1180116;Chief of Navy;Harry Pollitt;39;ST;Decisive Naval Battle Doctrine;High;M1022;x
1180117;Chief of Air Force;Sir Charles Portal;36;ML;Carpet Bombing Doctrine;Very High;M1147;x
1180118;Chief of Air Force;Sir Arthur Tedder;45;ML;Army Aviation Doctrine;Very High;M1148;x
1180119;Chief of Air Force;Sir Cyril Newall;37;ML;Air Superiority Doctrine;Very High;M1149;x
1180120;Chief of Air Force;Sir John Chamier;36;FA;Vertical Envelopment Doctrine;High;M1020;x
1180121;Chief of Air Force;Lord Williams Sempill;39;FA;Carpet Bombing Doctrine;High;M1152;x
1180122;Chief of Air Force;Donald Marendaz;41;FA;Air Superiority Doctrine;High;M1153;x
1180123;Chief of Air Force;Railton Freeman;43;FA;Naval Aviation Doctrine;High;M1154;x
1180124;Chief of Air Force;John Strachey;36;ST;Carpet Bombing Doctrine;High;M1030;x
1180125;Head of Government;Lord Halifax;40;SC;Happy Amateur;Very High;M1045;x
1180126;Foreign Minister;Viscount Templewood;36;SC;Apologetic Clerk;High;M1083;x
1180127;Minister of Security;Sir John Anderson;39;SC;Compassionate Gentleman;High;M1061;x
1180128;Head of Government;David Lloyd George;40;SD;Naive Optimist;Very High;M1160;x
1180129;Foreign Minister;Sir Archibald Sinclair;40;SD;Great Compromiser;High;M1161;x
1180130;Minister of Security;Leo Amery;40;SD;Crime Fighter;High;M1162;x
1180131;Minister of Armament;Leslie Hore-Belisha;37;SC;Reformer;Low;M1163;x
1180132;Chief of Army;Sir Harold Alexander;44;ML;Decisive Battle Doctrine;High;L1006;x
1180133;Chief of Army;Miles Dempsey;44;ML;Armoured Spearhead Doctrine;High;L1099;x
1180134;Chief of Staff;Hastings Ismay;45;ML;School of Defence;High;L1176;x
1180135;Chief of Army;Lord Archibald Wavell;41;ML;Guns and Butter Doctrine;High;L1311;x
1180136;Chief of Air Force;Sir Hugh Dowding;36;ML;Air Superiority Doctrine;Very High;L1435;x
1180137;Chief of Air Force;Arthur Harris;41;ML;Carpet Bombing Doctrine;Very High;L1447;x
1180138;Chief of Air Force;Sir Trafford Leigh-Mallory;42;ML;Air Superiority Doctrine;High;L1456;x
1180139;Chief of Air Force;Sir William Sholto Douglas;44;SL;Air Superiority Doctrine;High;L1479;x
1180140;Head of Military Intelligence;Sir Stewart Menzies;39;SC;Political Specialist;High;M1172;x
1180141;Minister of Armament;Sir Ernle Chatfield;39;SC;Battle Fleet Proponent;High;M1009;x
1180142;Minister of Armament;Sir Thomas Inskip;36;SC;Air Superiority Proponent;Very High;M1174;x
1180143;Minister of Armament;Sir Andrew Duncan;40;SC;Resource Industrialist;High;M1175;x
1180144;Minister of Armament;Sir John Moore-Brabazon;41;SC;Air Superiority Proponent;Medium;M1176;x
1180145;Minister of Armament;Sir Hibbert Cross;39;SC;laissez-faire capitalist;High;M1177;x
1180146;Minister of Armament;Alfred Duff Cooper;36;SC;Battle Fleet Proponent;Medium;M1178;x
1180147;Minister of Armament;Oliver Stanley;40;SC;Military Entrepreneur;Very High;M1179;x
1180148;Minister of Armament;Henry Margesson;40;SC;Resource Industrialist;Very High;M1180;x
1180149;Minister of Armament;Sir Percy Grigg;42;SC;laissez-faire capitalist;High;M1181;x
1180150;Head of State;Elisabeth II;52;SC;Popular Figurehead;High;M1182;x
1180151;Head of State;Elisabeth II;52;SD;Popular Figurehead;High;M1182;x
1180152;Minister of Armament;Albert V. Alexander;46;SD;Resource Industrialist;Medium;M1184;x
1180153;Minister of Armament;Emanuel Shinwell;50;SD;Theoretical Scientist;Medium;M1185;x
1180154;Minister of Armament;Winston Churchill;51;SC;Reformer;Medium;M1038;x
1180155;Minister of Armament;Sir Harold Alexander;52;SC;Tank Proponent;Medium;L1006;x
1180156;Chief of Air Force;Sir Frederick Bowhill;36;ML;Naval Aviation Doctrine;High;L1417;x
1180157;Head of State;George VI;36;SD;Benevolent Gentleman;High;M1033;x
1180158;Head of State;Elisabeth II;52;SD;Popular Figurehead;High;M1182;x
1180159;Head of Government;Anthony Eden;55;SC;Political Protege;High;M1003;x
1180160;Head of Government;Harold MacMillan;57;SC;Corporate Suit;High;M1192;x
1180161;Head of Government;Alec Douglas-Home;63;SC;Happy Amateur;High;M1193;x
1180162;Head of Government;Hugh Gaitskell;54;SD;Naive Optimist;High;M1194;x
1180163;Head of Government;Harold Wilson;63;SD;Ambitious Union Boss;High;M1195;x
1180164;Foreign Minister;Harold MacMillan;55;SC;Biased Intellectual;Medium;M1192;x
1180165;Foreign Minister;Alec Douglas-Home;60;SC;Great Compromiser;Medium;M1193;x
1180166;Foreign Minister;Richard A. Butler;63;SC;The Cloak N Dagger Schemer;Medium;M1064;x
1180167;Foreign Minister;Alfred Robens;53;SD;Apologetic Clerk;Medium;M1199;x
1180168;Foreign Minister;Aneurin Bevan;56;SD;Ideological Crusader;Medium;M1021;x
1180169;Foreign Minister;Denis Healey;59;SD;Iron Fisted Brute;Medium;M1201;x
1180170;Foreign Minister;Harold Wilson;61;SD;Ideological Crusader;Medium;M1195;x
1180171;Foreign Minister;Patrick Gordon Walker;63;SD;Apologetic Clerk;Medium;M1203;x
1180172;Minister of Armament;Harold MacMillan;54;SC;Resource Industrialist;Medium;M1192;x
1180173;Minister of Armament;Walter Monckton;55;SC;Air Superiority Proponent;Medium;M1205;x
1180174;Minister of Armament;Antony Head;56;SC;Submarine Proponent;Medium;M1206;x
1180175;Minister of Armament;Duncan Sandys;57;SC;laissez-faire capitalist;Medium;M1207;x
1180176;Minister of Armament;Harold Watkinson;59;SC;Infantry Proponent;Medium;M1208;x
1180177;Minister of Armament;Peter Thorneycroft;62;SC;Military Entrepreneur;Medium;M1209;x
1180178;Minister of Armament;Harold Wilson;59;SD;Administrative Genius;Medium;M1195;x
1180179;Minister of Armament;Denis Healey;61;SD;Resource Industrialist;Medium;M1201;x
1180180;Minister of Security;Gwilym Lloyd-George;54;SC;Prince of Terror;High;M1212;x
1180181;Minister of Security;Richard A. Butler;57;SC;Back Stabber;High;M1064;x
1180182;Minister of Security;Henry Brooke;62;SC;Efficient Sociopath;High;M1214;x
1180183;Minister of Security;Patrick Gordon Walker;56;SD;Silent Lawyer;High;M1203;x
1180184;Minister of Security;Frank Pakenham;61;SD;Man of the People;High;M1216;x
1180185;Head of Military Intelligence;Antony Head;51;SC;Industrial Specialist;High;M1206;x
1180186;Head of Military Intelligence;John Hugh Hare;57;SC;Naval Intelligence Specialist;High;M1218;x
1180187;Head of Military Intelligence;Christopher Soames;58;SC;Political Specialist;High;M1219;x
1180188;Head of Military Intelligence;John Profumo;60;SC;Dismal Enigma;High;M1220;x
1180189;Head of Military Intelligence;James Ramsden;63;SC;Technical Specialist;High;M1221;x
1180190;Head of Military Intelligence;James Callaghan;52;SD;Industrial Specialist;Very High;M1222;x
1180191;Chief of Staff;Sir William Slim;48;ML;School of Psychology;Medium;L1281;x
1180192;Chief of Staff;Sir John Harding;52;ML;School of Manoeuvre;Medium;L1153;x
1180193;Chief of Staff;Sir Gerald Templer;55;ML;School of Mass Combat;Medium;L1294;x
1180194;Chief of Staff;Sir Francis Festing;58;ML;School of Defence;Medium;L1120;x
1180195;Chief of Staff;Sir Richard Amyatt-Hull;61;ML;School of Fire Support;Medium;L1009;x
1180196;Chief of Army;Sir William Slim;48;ML;Elastic Defence Doctrine;Medium;L1281;x
1180197;Chief of Army;Sir John Harding;52;ML;Decisive Battle Doctrine;Medium;L1153;x
1180198;Chief of Army;Sir Gerald Templer;55;ML;Guns and Butter Doctrine;Medium;L1294;x
1180199;Chief of Army;Sir Francis Festing;58;ML;Static Defence Doctrine;Medium;L1120;x
1180200;Chief of Army;Sir Richard Amyatt-Hull;61;ML;Armoured Spearhead Doctrine;Medium;L1009;x
1180201;Chief of Navy;Sir R.B. Bruce-Fraser;48;ML;Base Control Doctrine;Very High;L1328;x
1180202;Chief of Navy;Sir Rhoderick McGrigor;51;ML;Power Projection Doctrine;Very High;M1235;x
1180203;Chief of Navy;Francis Earl Mountbatten;55;ML;Decisive Naval Battle Doctrine;Very High;M1236;x
1180204;Chief of Navy;Sir David Luce;60;ML;Indirect Approach Doctrine;Very High;M1237;x
1180205;Chief of Air Force;Sir William Sholto Douglas;44;SL;Air Superiority Doctrine;High;L1479;x
1180206;Chief of Air Force;Sir John Slessor;48;ML;Air Superiority Doctrine;High;L1480;x
1180207;Chief of Air Force;Sir William Dickson;53;ML;Carpet Bombing Doctrine;High;M1240;x
1180208;Chief of Air Force;Sir Dermot Boyle;56;ML;Vertical Envelopment Doctrine;High;M1241;x
1180209;Chief of Air Force;Sir Thomas Pike;59;ML;Naval Aviation Doctrine;High;M1242;x
1180210;Chief of Air Force;Sir Charles Elworthy;63;ML;Army Aviation Doctrine;High;M1243;x
