EGY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
512033;Foreign Minister;Ibrahim Abdel Hadi;46;FA;The Cloak N Dagger Schemer;High;M512033;x
512034;Foreign Minister;Ahmed Khashaba Pasha;47;FA;Apologetic Clerk;High;M512034;x
512035;Foreign Minister;Abdullah Nahawi;36;ML;Biased Intellectual;High;M512035;x
512036;Foreign Minister;Robert Manion;36;SC;Great Compromiser;High;M512040;x
512037;Foreign Minister;Mahmoud an Nukraishi Pasha;44;ML;Apologetic Clerk;High;M512016;x
512038;Foreign Minister;Abdelhamid Badawi Pasha;46;ML;The Cloak N Dagger Schemer;High;M512038;x
512040;Foreign Minister;Elie Nessim Mosseri;40;ML;General Staffer;High;M512019;x
512041;Foreign Minister;Ali Mahir Pasha;42;SC;The Cloak N Dagger Schemer;High;M512002;x
512042;Foreign Minister;Ken Phillips;36;SD;The Cloak N Dagger Schemer;Medium;M512042;x
512043;Foreign Minister;Mohammed al Fransawi;40;SD;Great Compromiser;High;M512023;x
512044;Foreign Minister;Mustafa an-Nahhas Pasha;42;SD;General Staffer;High;M512005;x
512046;Minister of Armament;Aly Tahal;41;FA;laissez-faire capitalist;High;M512046;x
512047;Minister of Armament;John Lethbridge;43;FA;Resource Industrialist;High;M512077;x
512048;Minister of Armament;Abdelhamid Soliman;45;FA;Air Superiority Proponent;Medium;M512048;x
512049;Minister of Armament;Wahid Ghaylam Pasha;36;ML;laissez-faire capitalist;Medium;M512049;x
512050;Minister of Armament;Taalat Harb;36;SC;Battle Fleet Proponent;Medium;M512050;x
512051;Minister of Armament;Talal al-Quros;41;ML;Air to Ground Proponent;High;M512051;x
512052;Minister of Armament;Salib Sami Bey;45;ML;Tank Proponent;High;M512031;x
512053;Minister of Armament;Fadil al-Sayed;36;SC;Air to Sea Proponent;High;M512053;x
512054;Minister of Armament;Ali Hassouna Pasha;41;SC;Infantry Proponent;High;M512054;x
512055;Minister of Armament;Aly Amir Pasha;45;SC;resource industrialist;High;M512055;x
512056;Minister of Armament;Mohammed Fahmy al-Kaiss;36;SD;Strategic Air Proponent;High;M512056;x
512057;Minister of Armament;Abd el-Azim;42;SD;Infantry Proponent;High;M512057;x
512058;Minister of Armament;Aga Khan;44;SD;Resource Industrialist;High;M512017;x
512059;Minister of Security;Amil al-Husseini;38;FA;Efficient Sociopath;High;M512059;x
512060;Minister of Security;John Lethbridge;40;FA;Compassionate Gentleman;High;M512077;x
512061;Minister of Security;William G. Adams;43;PA;Man of the People;High;M512061;x
512062;Minister of Security;Kamel Nabih Pasha;36;ML;Man of the People;Medium;M512062;x
512063;Minister of Security;Ralph Stevenson;42;ML;Prince of Terror;Medium;M512063;x
512064;Minister of Security;Romarcos Hanna Pasha;44;ML;Crime Fighter;Medium;M512064;x
512065;Minister of Security;Salib Samir Pasha;36;SC;Back Stabber;Medium;M512065;x
512066;Minister of Security;Mohammed Najib Pasha;42;SC;Compassionate Gentleman;Medium;M512066;x
512067;Minister of Security;Mohammed Hilmi Issa;45;SC;Man of the People;Medium;M512006;x
512068;Minister of Security;Gaafaar Waly Pasha;36;SD;Back Stabber;Medium;M512068;x
512069;Minister of Security;Makran Ebeid Pasha;40;SD;Man of the People;Medium;M512069;x
512070;Minister of Security;Ali Hilali Pasha;46;SD;Crime Fighter;Medium;M512070;x
512071;Head of Military Intelligence;John F. King;41;FA;Technical Specialist;Medium;M512004;x
512072;Head of Military Intelligence;Allen Aylesworth;36;FA;Industrial Specialist;Medium;M512072;x
512073;Head of Military Intelligence;Jennifer Calder;36;ML;Naval Intelligence Specialist;Medium;M512073;x
512075;Head of Military Intelligence;Ken Phillips;36;SC;Industrial Specialist;Medium;M512027;x
512076;Head of Military Intelligence;George Cresswell;42;SC;Dismal Enigma;Medium;M512076;x
512077;Head of Military Intelligence;Aga Khan;36;SD;Industrial Specialist;Medium;M512017;x
512078;Head of Military Intelligence;Wahid Raafat;44;SD;Technical Specialist;Medium;M512078;x
512079;Chief of Staff;Abdelhamid Soliman;36;FA;School of Psychology;Medium;M512048;x
512081;Chief of Staff;Elie Nessim Mosseri;36;ML;School of Defence;High;M512019;x
512082;Chief of Staff;Abil Nashran;41;ML;School of Manoeuvre;Medium;M512080;x
512083;Chief of Staff;Mohammed Aflatan;36;SC;School of Mass Combat;Medium;M512083;x
512085;Chief of Staff;Abdallah Ziwar Pasha;36;SD;School of Manoeuvre;High;M512009;x
512088;Chief of Army;Paul Hellyer;36;FA;Decisive Battle Doctrine;High;M512088;x
512089;Chief of Army;Elie Nessim Mosseri;36;ML;Elastic Defence Doctrine;High;M512019;x
512091;Chief of Army;Mustafa Kamel;36;SC;Decisive Battle Doctrine;High;M512087;x
512093;Chief of Army;Mohammed al Fransawi;36;SD;Guns and Butter Doctrine;High;M512023;x
512096;Chief of Navy;Mohammed Azmy Pasha;43;FA;Base Control Doctrine;Medium;M512096;x
512097;Chief of Navy;Talal al-Quros;36;ML;Indirect Approach Doctrine;High;M512051;x
512099;Chief of Navy;Allen Aylesworth;36;SC;Power Projection Doctrine;Medium;M512072;x
512100;Chief of Navy;Aly Hamid Pasha;42;SC;Base Control Doctrine;Medium;M512072;x
512102;Chief of Navy;Wahid Raafat;44;SD;Power Projection Doctrine;Medium;M512078;x
512103;Chief of Air Force;Abdelhamid Soliman;36;FA;Air Superiority Doctrine;Medium;M512048;x
512104;Chief of Air Force;Mohammed Azmy Pasha;43;FA;Army Aviation Doctrine;Medium;M512096;x
512105;Chief of Air Force;Mohammed Nasheed;36;ML;Army Aviation Doctrine;Medium;M512105;x
512107;Chief of Air Force;Ali Mahir Pasha;36;SC;Naval Aviation Doctrine;High;M512002;x
512108;Chief of Air Force;Ken Phillips;41;SC;Carpet Bombing Doctrine;Medium;M512027;x
512109;Chief of Air Force;Aga Khan;36;SD;Army Aviation Doctrine;Medium;M512017;x
512110;Chief of Air Force;Jennifer Calder;42;SD;Naval Aviation Doctrine;Medium;M512073;x
512111;Head of State;Paul Hellyer;36;SD;Resigned Generalissimo;High;M512088;x
512112;Head of Government;Ibrahim Abdel Hadi;49;FA;Political Protege;High;M512033;x
512113;Head of Government;Paul Hellyer;52;SD;Old General;High;M512088;x
512114;Minister of Armament;J.L. Isley;52;SD;Theoretical Scientist;High;M512114;x
512115;Minister of Security;Kamaleddin Hussein;52;SD;Prince of Terror;Medium;M512115;x
512116;Chief of Staff;Paul Hellyer;52;SD;School of Mass Combat;High;M512088;x
512117;Chief of Army;Gamal Abdel Nasser;52;SD;Armoured Spearhead Doctrine;High;L512001;x
512118;Chief of Air Force;Gamal Abdel Nasser;52;SD;Carpet Bombing Doctrine;Medium;L512001;x
