GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
94;Minister of Armament;Fritz Tornow;44;PA;Military Entrepreneur;Medium;M94;x
95;Minister of Armament;Julius Curtius;36;SL;Resource Industrialist;Medium;M95;x
96;Minister of Armament;Paul Lejeune-Jung;38;SC;Mixed economy;Medium;M96;x
97;Minister of Armament;Alfried Krupp;39;PA;Steel magnate;Medium;M97;x
98;Minister of Armament;Georg Thomas;40;SC;Reformer;Low;M98;x
99;Minister of Armament;Carl Friedrich Goerdeler;40;SC;Military Entrepreneur;High;M12;x
100;Minister of Armament;Albert Speer;42;SC;Genius organizer;High;M43;x
101;Minister of Armament;Johannes Popitz;43;SC;Resource Industrialist;Very High;M101;x
102;Minister of Armament;Claus von Stauffenberg;44;SC;Infantry Proponent;High;M102;x
103;Minister of Armament;Fritz Schäffer;46;SC;Resource Industrialist;Very High;M103;x
104;Minister of Armament;Ludwig Erhard;47;SC;Mixed economy;Very High;M104;x
105;Minister of Armament;Albert Kuntz;36;ST;Resource Industrialist;High;M105;x
106;Minister of Armament;Willie Munzenberg;42;ST;Administrative Genius;High;M24;x
109;Minister of Security;Viktor Lutze;39;PA;Compassionate Gentleman;Very High;M109;x
110;Minister of Security;Frederick III;36;SL;Man of the People;Very High;M37;x
111;Minister of Security;Heinrich Müller;43;PA;Secret police chief;Very Low;M26;x
114;Minister of Security;Otto Georg Thierack;42;PA;Crime Fighter;Very High;M114;x
116;Minister of Security;Ernst Trendelenburg;36;SL;Compassionate Gentleman;Medium;M116;x
117;Minister of Security;Alfred Hugenberg;36;SL;Compassionate Gentleman;Medium;M117;x
118;Minister of Security;Heinrich Müller;39;SC;Secret police chief;Very Low;M26;x
119;Minister of Security;Arthur Nebe;42;PA;Crime Fighter;Low;M119;x
120;Minister of Security;Arthur Axmann;45;PA;Man of the People;Low;M120;x
121;Minister of Security;Johann von Bernstorff;36;SC;Back Stabber;Medium;M121;x
122;Minister of Security;Karl Sack;36;SC;Silent Lawyer;Medium;M122;x
123;Minister of Security;Wilhelm von Gayl;38;SC;Prince of Terror;High;M15;x
124;Minister of Security;Walter Schellenberg;39;SC;Efficient Sociopath;Low;M124;x
125;Minister of Security;Josef Wirmer;42;SC;Man of the People;Medium;M125;x
126;Minister of Security;Fritz von Schulenburg;42;SC;Compassionate Gentleman;Very High;M126;x
127;Minister of Security;Henning von Tresckow;44;SC;Crime Fighter;Low;M127;x
129;Minister of Security;Karl Arnold;46;SC;Crime Fighter;High;M129;x
130;Minister of Security;Gustav Heinemann;47;SC;Man of the People;High;M130;x
131;Minister of Security;Ernst Toller;36;ST;Man of the People;Low;M25;x
132;Minister of Security;Ludwig Renn;39;ST;Efficient Sociopath;Very High;M21;x
133;Minister of Security;Julius Leber;42;ST;Compassionate Gentleman;High;M133;x
134;Minister of Security;Walter Ulbricht;44;ST;Prince of Terror;High;M53;x
136;Head of Military Intelligence;Hans-Georg von Friedeburg;42;PA;Naval Intelligence Specialist;Medium;M93;x
137;Head of Military Intelligence;Wilhelm Frick;44;PA;Technical Specialist;High;M5;x
140;Head of Military Intelligence;Hjalmar Schacht;45;PA;Industrial Specialist;Medium;M14;x
141;Head of Military Intelligence;Oskar von Hindenburg;36;SC;Political Specialist;Medium;M33;x
142;Head of Military Intelligence;Walter Schellenberg;40;PA;Dismal Enigma;Low;M124;x
143;Head of Military Intelligence;Baldur von Schirach;44;PA;Logistics Specialist;Low;M143;x
144;Head of Military Intelligence;Carl von Schubert;36;SC;Logistics Specialist;High;M144;x
145;Head of Military Intelligence;Otto Strasser;38;SC;Political Specialist;High;M145;x
146;Head of Military Intelligence;Hans Oster;39;SC;Industrial Specialist;High;M146;x
147;Head of Military Intelligence;Georg Hansen;40;SC;Technical Specialist;Medium;M147;x
148;Head of Military Intelligence;Wilhelm Canaris;44;SC;Dismal Enigma;High;M6;x
149;Head of Military Intelligence;Hans Ehard;46;SC;Political Specialist;High;M149;x
150;Head of Military Intelligence;Reinhard Gehlen;47;SC;Dismal Enigma;High;M150;x
151;Head of Military Intelligence;Ernst Thalmann;36;ST;Industrial Specialist;High;M22;x
152;Head of Military Intelligence;Erich Weinert;38;ST;Logistics Specialist;High;M152;x
153;Head of Military Intelligence;Heinrich Müller;43;ST;Political Specialist;Very High;M26;x
155;Chief of Staff;Franz Halder;36;SC;School of Fire Support;High;M155;x
156;Chief of Staff;Alfred Jodl;39;PA;School of Psychology;High;M156;x
157;Chief of Staff;Heinz Guderian;44;SC;School of Mass Combat;Medium;M157;x
158;Chief of Staff;Hans Krebs;45;PA;School of Defence;Medium;M158;x
159;Chief of Staff;Fritz Bayerlein;36;SC;School of Psychology;High;M159;x
160;Chief of Staff;Erich Hoepner;37;PA;School of Fire Support;Medium;M18;x
165;Chief of Staff;Erwin Rommel;43;SC;School of Manoeuvre;High;M165;x
166;Chief of Staff;Wilhelm Grüner;36;SC;School of Defence;Medium;M166;x
168;Chief of Staff;Adolf Heusinger;42;SC;School of Mass Combat;Low;M168;x
170;Chief of Staff;Hans Speidel;46;SC;School of Mass Combat;High;M170;x
171;Chief of Staff;Ernst Wollweber;36;ST;School of Mass Combat;Very High;M27;x
172;Chief of Staff;Erich Weinert;44;ST;School of Psychology;High;M152;x
174;Chief of Army;Walther von Brauchitsch;38;PA;Armoured Spearhead Doctrine;High;M174;x
176;Chief of Army;Wilhelm Keitel;40;PA;Armoured Spearhead Doctrine;Very High;M176;x
178;Chief of Army;Ferdinand Schörner;45;PA;Elastic Defence Doctrine;Very High;M178;x
179;Chief of Army;Erich Ludendorff;36;SC;Elastic Defence Doctrine;High;M179;x
180;Chief of Army;Werner von Blomberg;37;PA;Guns and Butter Doctrine;High;M4;x
182;Chief of Army;Fedor von Bock;39;PA;Decisive Battle Doctrine;High;M182;x
183;Chief of Army;Erich Hoepner;42;PA;Armoured Spearhead Doctrine;High;M18;x
188;Chief of Army;Theodor Blank;46;SC;Armoured Spearhead Doctrine;High;M188;x
189;Chief of Army;Hans Speidel;47;SC;Decisive Battle Doctrine;High;M170;x
190;Chief of Army;Hans Kahle;36;ST;Decisive Battle Doctrine;Very High;M28;x
192;Chief of Navy;Karl Dönitz;39;PA;Indirect Approach Doctrine;Very High;M32;x
193;Chief of Navy;Hans-Georg von Friedeburg;44;PA;Open Seas Doctrine;Medium;M93;x
195;Chief of Navy;Alfred Saalwächter;36;PA;Open Seas Doctrine;High;M195;x
198;Chief of Navy;Conrad Albrecht;39;SC;Open Seas Doctrine;Medium;M198;x
199;Chief of Navy;Gustav Kieseritzky;40;SC;Base Control Doctrine;Medium;M199;x
200;Chief of Navy;Erich Bey;46;SC;Open Seas Doctrine;High;M200;x
201;Chief of Navy;Fritz Scheelen;36;ST;Base Control Doctrine;Very High;M29;x
203;Chief of Air Force;Hugo Sperrle;39;PA;Carpet Bombing Doctrine;High;M203;x
204;Chief of Air Force;Robert Ritter von Greim;44;PA;Air Superiority Doctrine;Medium;M204;x
205;Chief of Air Force;Karl Koller;36;PA;Army Aviation Doctrine;Medium;M205;x
206;Chief of Air Force;Eberhard Milch;42;PA;Air Superiority Doctrine;Medium;M206;x
207;Chief of Air Force;Albert Kesselring;44;PA;Vertical Envelopment Doctrine;High;M207;x
208;Chief of Air Force;Carl Friedrich von Siemens;36;SC;Air Superiority Doctrine;High;M208;x
209;Chief of Air Force;Ernst Udet;40;SC;Army Aviation Doctrine;High;M20;x
213;Head of Government;Hermann Göring;38;PA;old airmarshal;High;M10;x
214;Head of Government;Franz Xaver Ritter von Epp;36;PA;Old General;Very High;M214;x
217;Head of Government;Friedrich Wilhelm Kritzinger;45;PA;Naive Optimist;Very High;M217;x
219;Minister of Armament;Franz Xaver Ritter von Epp;36;PA;Infantry Proponent;Very High;M214;x
220;Minister of Armament;Franz Seldte;36;PA;Military Entrepreneur;Very High;M220;x
221;Minister of Armament;Konstantin Hierl;36;PA;Resource Industrialist;Very High;M221;x
222;Minister of Armament;Xaver Dorsch;44;PA;Construction magnate;Very High;M222;x
223;Minister of Security;Franz Gürtner;36;PA;Silent Lawyer;Medium;M223;x
224;Minister of Security;Kurt Daluege;36;PA;Prince of Terror;Very High;M82;x
226;Minister of Security;Walter Buch;37;PA;Man of the People;High;M226;x
227;Minister of Security;Hans Frank;41;PA;Compassionate Gentleman;Medium;M227;x
228;Minister of Security;Roland Freisler;42;PA;Crime Fighter;Very High;M228;x
229;Chief of Staff;Erich von Manstein;42;SC;School of Manoeuvre;Medium;L324;x
230;Chief of Staff;Ernst Busch;45;PA;School of Fire Support;High;L33;x
231;Chief of Army;Günther von Kluge;42;SC;Decisive Battle Doctrine;Medium;L311;x
232;Chief of Army;Paul Hausser;44;PA;Armoured Spearhead Doctrine;Very High;L503;x
233;Chief of Navy;Wilhelm Marschall;41;PA;Open Seas Doctrine;High;L407;x
234;Chief of Navy;Walter Warzecha;42;SC;Indirect Approach Doctrine;Medium;L891;x
235;Chief of Air Force;Otto Dessloch;39;PA;Army Aviation Doctrine;High;L434;x
236;Chief of Air Force;Ulrich Grauert;36;PA;Air Superiority Doctrine;High;L439;x
237;Chief of Air Force;Hans-Jürgen Stumpff;44;PA;Army Aviation Doctrine;Very High;L471;x
238;Chief of Staff;Walther von Reichenau;41;PA;School of Fire Support;Very High;L334;x
239;Head of Military Intelligence;Ernst Wollweber;36;ST;Industrial Specialist;Very High;M27;x
240;Minister of Armament;Karl Dönitz;44;PA;Submarine Proponent;Very High;M32;x
241;Minister of Armament;Lutz von Schwerin-Krosigk;45;PA;Resource Industrialist;High;M241;x
242;Minister of Security;Paul Giesler;45;PA;Efficient Sociopath;Very High;M242;x
243;Minister of Security;Werner Naumann;45;PA;Compassionate Gentleman;Very High;M243;x
253;Minister of Armament;Alfred Hugenberg;36;SC;Resource Industrialist;High;M117;x
247;Head of Military Intelligence;Hans Gisevius;39;SC;Dismal Enigma;Medium;M247;x
250;Minister of Security;Rudolf Diels;36;SC;Crime Fighter;Medium;M250;x
251;Minister of Armament;Gustav Krupp;36;PA;Tank Proponent;High;M251;x
252;Minister of Armament;Fritz Saukel;42;PA;Infantry Proponent;High;M252;x
258;Minister of Armament;Karl Krauch;39;PA;Industrial chemist;High;5912;x
303;Head of Government;Wilhelm Külz;36;ML;Ambitious Union Boss;Very High;kaiserreich wilhelmkuelz;x
304;Foreign Minister;Wilhelm Roepke;36;ML;Biased Intellectual;Very High;kaiserreich wilhelmroepke;x
305;Minister of Armament;Dr. Otto Gessler;36;ML;Corrupt Kleptocrat;Very High;kaiserreich ottogessler;x
306;Head of Military Intelligence;Hanns Seidel;36;ML;Naval Intelligence Specialist;High;M506029;x
307;Minister of Security;Reinhold Maier;36;ML;Compassionate Gentleman;High;M506024;x
308;Chief of Staff;Josef Kammhuber;36;ML;School of Psychology;Medium;L448;x
309;Chief of Army;Karl Heinrich Lübke;36;ML;Guns and Butter Doctrine;Medium;M506033;x
310;Chief of Navy;Erich Köhler;36;ML;Base Control Doctrine;Medium;M506035;x
313;Head of Government;Franz Blücher;36;ML;Political Protege;High;M506012;x
314;Head of Government;Walther von Rathenau;36;ML;Corporate Suit;High;kaiserreich walthervonrathennau;x
316;Foreign Minister;Heinrich von Brentano;36;ML;Ideological Crusader;Very High;M506013;x
317;Foreign Minister;Thomas Dehler;36;ML;Apologetic Clerk;Very High;M506015;x
318;Minister of Security;Gustav Heinemann;36;ML;Man of the People;High;M130;x
320;Minister of Armament;Franz Etzel;36;ML;Infantry Proponent;Medium;M506004;x
321;Minister of Armament;Heinz Starke;36;ML;Theoretical Scientist;Very High;M506019;x
326;Head of Military Intelligence;Hans Gisevius;36;ML;Dismal Enigma;Medium;M247;x
327;Head of Military Intelligence;Dr. Otto Gessler;36;ML;Technical Specialist;Very High;kaiserreich ottogessler;x
328;Chief of Air Force;Herrmann Ehlers;36;ML;Naval Aviation Doctrine;Medium;M506038;x
329;Head of Government;Frederick III;36;SL;Naive Optimist;High;M37;x
330;Chief of Army;Waldemar VII;1937;PA;Decisive Battle Doctrine;Very High;M36;X
