U09;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
86092;Minister of Security;Willi Frank;45;ST;Crime Fighter;Medium;M23035;x
86093;Head of Military Intelligence;Kalmán Szell;45;PA;Political Specialist;Medium;M23093;x
86094;Head of Military Intelligence;Constantin Dumba;36;FA;Naval Intelligence Specialist;Medium;M23084;x
86095;Head of Military Intelligence;Karl Eglseer;38;FA;Logistics Specialist;High;M23095;x
86096;Head of Military Intelligence;Wilhelm Wolff;38;NS;Technical Specialist;High;M23013;x
86097;Head of Military Intelligence;Alexander Löhr;42;NS;Dismal Enigma;Medium;M23010;x
86098;Head of Military Intelligence;Robert Winterstein;38;SC;Technical Specialist;High;M23025;x
86099;Head of Military Intelligence;Julius Raab;45;SC;Industrial Specialist;Medium;M23004;x
86100;Head of Military Intelligence;Franz Sebek;45;SD;Political Specialist;High;M23036;x
86102;Head of Military Intelligence;Richard Bernaschek;45;ST;Technical Specialist;High;M23038;x
86103;Chief of Staff;O. Meixner von Zweienstamm;45;PA;School of Defence;Medium;M23103;x
86104;Chief of Staff;Walter Ernst;36;FA;School of Defence;High;M23104;x
86105;Chief of Staff;Rudolf von Brudermann;41;FA;School of Manoeuvre;High;M23105;x
86106;Chief of Staff;Emil Hickmann;38;NS;School of Manoeuvre;High;M23017;x
86107;Chief of Staff;Alfred Hubicki;40;NS;School of Psychology;Medium;M23107;x
86108;Chief of Staff;Eugen Beyer;42;NS;School of Fire Support;Medium;M23018;x
86109;Chief of Staff;Wilhelm Zehner;38;SC;School of Mass Combat;High;M23008;x
86110;Chief of Staff;Eric von Klopfenburg;45;SC;School of Defence;High;M23039;x
86111;Chief of Staff;Adolf Schärf;45;SD;School of Fire Support;Medium;M23022;x
86112;Chief of Staff;Ferdinand Strasser;38;LE;School of Manoeuvre;High;M23037;x
86114;Chief of Army;Eric von Klopfenburg;45;PA;Static Defence Doctrine;High;M23039;x
86115;Chief of Army;O. Meixner von Zweienstamm;38;FA;Guns and Butter Doctrine;Medium;M23103;x
86116;Chief of Army;Richard Martinek;41;FA;Elastic Defence Doctrine;Medium;M23116;x
86117;Chief of Army;Eugen Beyer;38;NS;Elastic Defence Doctrine;High;M23018;x
86118;Chief of Army;Lothar Rendulic;42;NS;Armoured Spearhead Doctrine;Medium;M23118;x
86119;Chief of Army;Heinrich Gleissner;38;SC;Decisive Battle Doctrine;Very Low;M23028;x
86121;Chief of Army;Richard Bernaschek;38;LE;Static Defence Doctrine;Medium;M23038;x
86186;Chief of Navy;Otto I von Habsburg;45;PA;Indirect Approach Doctrine;Very High;M23041;x
86124;Chief of Navy;Ignaz Seipel;38;FA;Power Projection Doctrine;High;M23124;x
86125;Chief of Navy;Emil Hickmann;38;NS;Open Seas Doctrine;Low;M23017;x
86126;Chief of Navy;Robert Winterstein;38;SC;Indirect Approach Doctrine;Medium;M23025;x
86128;Chief of Navy;Eric von Klopfenburg;38;LE;Open Seas Doctrine;High;M23039;x
86129;Chief of Navy;Josef Teufl;45;ST;Base Control Doctrine;Medium;M23047;x
86130;Chief of Air Force;W. Ehrenburg von Lüttitz;45;PA;Army Aviation Doctrine;High;M23082;x
86131;Chief of Air Force;Otto Schöbel;38;FA;Vertical Envelopment Doctrine;High;M23030;x
86133;Chief of Air Force;Josef Bürckel;42;NS;Carpet Bombing Doctrine;High;M23042;x
86134;Chief of Air Force;Julius Yllam;38;SC;Air Superiority Doctrine;Low;M23040;x
86135;Chief of Air Force;Egon Berger-Waldenegg;42;SC;Carpet Bombing Doctrine;High;M23003;x
86139;Head of Military Intelligence;Kurt Schuschnigg;37;FA;Political Specialist;Undying;M23002;x
86140;Chief of Staff;Kurt Schuschnigg;36;FA;School of Fire Support;Undying;M23002;x
86141;Head of State;Alfred Hubicki;45;NS;Stern Imperialist;High;M23107;x
86142;Chief of Air Force;Artur Breycha-Vauthier;42;LE;Naval Aviation Doctrine;Low;M23136;x
86143;Head of State;Karl Renner;38;SC;Benevolent Gentleman;High;M23021;x
86144;Head of State;Theodor Körner;51;SC;Weary Stiffneck;High;M23144;x
86145;Head of State;Theodor Körner;51;SD;Weary Stiffneck;High;M23144;x
86146;Head of Government;Leopold Figl;45;SC;Happy Amateur;High;M23045;x
86147;Head of Government;Julius Raab;51;SC;Corporate Suit;Medium;M23004;x
86148;Minister of Armament;Ferdinand Graf;45;SC;laissez-faire capitalist;Medium;M23148;x
86149;Minister of Security;Josef Gerö;45;SC;Silent Lawyer;Low;M23149;x
86150;Minister of Security;Otto Tschabeck;49;SC;Man of the People;Low;M23150;x
86151;Head of Military Intelligence;Oskar Helmer;45;ML;Dismal Enigma;High;M23151;x
86152;Foreign Minister;Adolf Schärf;45;SD;Biased Intellectual;Very High;M23022;x
