RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
515144;Foreign Minister;Nikolai V. Nekrasov;36;SL;Apologetic Clerk;High;MRUS Nekrasov;x
515145;Foreign Minister;Oleg Milyukov;36;SC;Great Compromiser;Medium;M4101;x
515146;Chief of Navy;Oleg Mychelkin;36;NS;Indirect Approach Doctrine;High;M4139;x
515147;Head of State;Pavel Bermondt-Avalov;36;PA;Ruthless Powermonger;Medium;kaiserreich Bermondt-Avalov;x
515148;Head of Government;Pavel Bermondt-Avalov;36;PA;Old General;Medium;kaiserreich Bermondt-Avalov;x
515149;Foreign Minister;Pavel Konovalov;36;SC;Apologetic Clerk;Medium;M4102;x
515150;Minister of Security;Pavel N. Ignatiev;36;PA;Crime Fighter;Very high;Pavel_Ignatiev;x
515151;Minister of Armament;Pavel N. Ignatiev;36;PA;Resource Industrialist;Very high;Pavel_Ignatiev;x
515152;Head of Government;Pavel N. Milyukov;36;ML;Backroom Backstabber;Medium;MRUS Miliukov;x
515153;Foreign Minister;Pavel N. Milyukov;36;ML;Great Compromiser;High;MRUS Miliukov;x
515154;Chief of Air Force;Pavel V. Rychagov;36;PA;Army Aviation Doctrine;High;M4030;x
515155;Chief of Navy;Petar Drozd;36;FA;Open Seas Doctrine;High;M4138;x
515156;Foreign Minister;Pyotr B. Struve;36;SL;Ideological Crusader;High;Pyotr_Struve;x
515157;Minister of Security;Pyotr Krasnov;60;FA;Crime Fighter;High;MRUS Krasnov;x
515158;Chief of Staff;Pyotr Krasnov;60;FA;School of Manoeuvre;High;MRUS Krasnov;x
515159;Chief of Army;Pyotr Krasnov;60;FA;Guns and Butter Doctrine;High;MRUS Krasnov;x
515160;Chief of Staff;Pyotr N. Wrangel;36;NS;School of Manoeuvre;High;M4124;x
515161;Head of State;Pyotr N. Wrangel;36;NS;ruthless dictator;High;M4124;x
515162;Head of Government;Pyotr N. Wrangel;36;NS;Flamboyant Tough Guy;High;M4124;x
515163;Minister of Security;Pyotr N. Wrangel;36;NS;Prince of Terror;Very High;M4124;x
515164;Chief of Army;Pyotr N. Wrangel;36;NS;Decisive Battle Doctrine;Very high;M4124;x
515165;Foreign Minister;Pyotr Plehanov;36;PA;Ideological Crusader;Medium;M4100;x
515166;Chief of Navy;Robert von Wirén;36;SC;Decisive Naval Battle Doctrine;High;M4143;x
515167;Head of Military Intelligence;Roman B. Gul;36;SC;Industrial Specialist;Medium;M4301;x
515168;Minister of Armament;Sergei Bulgakov;36;SC;Resource Industrialist;Medium;M4296;x
515169;Head of Military Intelligence;Sergei F. Oldenburg;36;SD;Technical Specialist;High;MRUS Oldenburg;x
515170;Chief of Air Force;Sergei Korenev;36;SC;Vertical Envelopment Doctrine;High;M4150;x
515171;Chief of Staff;Sergei L. Markov;36;PA;School of Manoeuvre;Very High;MRUS Markov;x
515172;Head of State;Sergei L. Markov;36;PA;Stern Imperialist;Very high;MRUS Markov;x
515173;Chief of Staff;Sergei L. Markov;36;PA;School of Manoeuvre;Very high;MRUS Markov;x
515174;Minister of Armament;Sergei M. Kirov;36;ST;Resource Industrialist;High;kaiserreich sergeikirov;x
515175;Minister of Armament;Sergei Rodzyanko;36;PA;Resource Industrialist;High;M4103;x
515176;Minister of Security;Sergei Rodzyanko;36;PA;Silent Lawyer;Very High;M4103;x
515177;Minister of Armament;Sergei Savinkov;36;SC;Theoretical Scientist;High;M4108;x
515178;Minister of Security;Sergei Sazonov;36;FA;Compassionate Gentleman;Very High;M4110;x
515179;Minister of Security;Sergius of Nizhny-Novgorod;36;PA;Man of the People;High;kaiserreich sergiusofnn;x
515180;Head of State;The Senate;36;PA;Weary Stiffneck;Very high;MRUS Senate;x
515181;Minister of Armament;Vadim V. Rudnev;36;SL;Military Entrepreneur;High;MRUS Rudnev;x
515182;Head of State;Vasily A. Maklakov;36;ML;Benevolent Gentleman;High;MRUS Maklakov;x
515183;Minister of Security;Vasily A. Maklakov;36;ML;Silent Lawyer;High;MRUS Maklakov;x
515184;Chief of Army;Vasily I. Chuikov;42;LE;Elastic Defence Doctrine;High;L9881;x
515185;Minister of Security;Vasily Shulgin;36;SC;Prince of Terror;High;MRUS Shulgin;x
515186;Foreign Minister;Viktor M. Chernov;36;SD;Apologetic Clerk;High;Mrus chernov;x
515187;Foreign Minister;Vladimir D. Nabokov;36;SC;General Staffer;High;kaiserreich VladimirDmitrievichNabokov;x
515188;Minister of Security;Vladimir D. Nabokov;36;SC;Crime Fighter;Medium;kaiserreich VladimirDmitrievichNabokov;x
515189;Foreign Minister;Vladimir Galitzine;38;PA;Great Compromiser;Very High;kaiserreich vladimirgallitzine;x
515190;Minister of Security;Vladimir L. Burtsev;36;SD;Crime Fighter;High;Vladimir_Burtsev;x
515191;Minister of Security;Vladimir M. Purishkevich;36;FA;Efficient Sociopath;High;kaiserreich VladimirPurishkevich;x
515192;Head of Government;Vladimir M. Purishkevich;36;FA;Flamboyant Tough Guy;High;kaiserreich VladimirPurishkevich;x
515193;Minister of Armament;Vladimir M. Smirnoff;36;SL;laissez-faire capitalist;High;M4024;x
515194;Minister of Security;Vladimir Malyshkin;60;FA;Back Stabber;Very High;M4084;x
515195;Head of State;Vladimir N. Kokovtsov;36;PA;Benevolent Gentleman;High;kaiserreich VladimirKokovtsov;x
515196;Minister of Armament;Vladimir N. Kokovtsov;36;PA;Infantry Proponent;High;kaiserreich VladimirKokovtsov;x
515197;Foreign Minister;Vladimir P. Paley;36;SC;Apologetic Clerk;Very high;MRUS Paley;x
515198;Minister of Security;Vladimir Skobelev;36;SC;Prince of Terror;Very High;M4115;x
515199;Head of Government;Vyacheslav M. Molotov;45;LE;collectivizer;High;M4034;x
515200;Foreign Minister;Vyacheslav M. Molotov;39;LE;Iron Fisted Brute;High;M4034;x
515201;Minister of Armament;Wassily Leontief;36;ML;laissez-faire capitalist;Medium;M4298;x
515202;Head of Military Intelligence;Yan K. Berzin;36;ST;Technical Specialist;High;M4006;x
515203;Minister of Security;Yan K. Berzin;36;ST;Back Stabber;High;M4006;x
515204;Minister of Armament;Yuri Rosenfeld;36;PA;Theoretical Scientist;High;M4107;x
515205;Head of Military Intelligence;Yuri Rosenfeld;36;SC;Logistics Specialist;Very High;M4107;x
