U05;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
840122;Minister of Security;Sabeer Said;38;SD;Prince of Terror;Medium;M41032;x
840123;Minister of Security;Kadeer Mustafa;43;SD;Compassionate Gentleman;Medium;M41064;x
840124;Minister of Security;Jihad Bahar;44;SL;Prince of Terror;Medium;M41065;x
840125;Minister of Security;Sumrah Asker;47;SL;Efficient Sociopath;Medium;M41066;x
840126;Minister of Security;Suhayl Hanania;47;SD;Crime Fighter;Medium;M41067;x
840127;Head of Military Intelligence;Ma'ruf Boulos;36;PA;Industrial Specialist;Medium;M41068;x
840128;Head of Military Intelligence;Khoury Maalouf;38;SC;Industrial Specialist;Medium;M41070;x
840129;Head of Military Intelligence;Sa'dun Tahan;38;SD;Technical Specialist;Medium;M41026;x
840130;Head of Military Intelligence;Hippolito Gallinal;43;SD;Logistics Specialist;Medium;M41073;x
840131;Head of Military Intelligence;Murad Shamon;47;SL;Technical Specialist;Medium;M41074;x
840132;Head of Military Intelligence;Dhul Fiqar Isa;47;LWR;Industrial Specialist;Medium;M41075;x
840133;Chief of Staff;Ma'mun Masih;38;SD;School of Defence;Medium;M41077;x
840134;Chief of Staff;Ja'far Maloof;43;ML;School of Manoeuvre;Medium;M41078;x
840135;Chief of Army;Abdul-Ghafur Bazzi;36;SC;Elastic Defence Doctrine;Medium;M41081;x
840136;Chief of Army;Ma'mun Masih;38;SD;Static Defence Doctrine;Medium;M41077;x
840137;Chief of Army;Abdul-Haqq Srour;43;ML;Guns and Butter Doctrine;Medium;M41083;x
840138;Chief of Army;Fayyad Hadad;47;SL;Decisive Battle Doctrine;Medium;M41085;x
840139;Chief of Navy;Tareef Ganem;43;ML;Open Seas Doctrine;Medium;M41089;x
840140;Chief of Navy;Jibran Sabbagh;43;SD;Indirect Approach Doctrine;Medium;M41059;x
840141;Chief of Navy;Nayif Arian;47;SL;Power Projection Doctrine;Medium;M41091;x
840142;Chief of Navy;Abdul-Muta'al Kanaan;47;SD;Open Seas Doctrine;Medium;M41092;x
840143;Chief of Air Force;Zain Bahar;38;SD;Air Superiority Doctrine;Medium;M41030;x
840144;Chief of Air Force;Bashir Tuma;43;SD;Army Aviation Doctrine;Medium;M41057;x
840145;Chief of Air Force;Nayif Arian;47;SL;Naval Aviation Doctrine;Medium;M41091;x
