CHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
52102;Chief of Navy;Zeng Yiding;39;SC;Base Control Doctrine;Medium;M52102;x
52103;Chief of Navy;Chen Jiliang;36;SC;Indirect Approach Doctrine;Medium;M52103;x
52104;Chief of Navy;Gui Yongqing;45;SC;Decisive Naval Battle Doctrine;Very High;M52104;x
52105;Chief of Navy;Chen Cheng;45;SC;Power Projection Doctrine;Very High;M52105;x
52106;Chief of Navy;Ren Shouxu;39;SL;Open Seas Doctrine;Low;M52106;x
52107;Chief of Navy;Ren Yuandao;39;PA;Open Seas Doctrine;Low;M52019;x
52108;Chief of Air Force;Huang Chenzuo;36;SC;Air Superiority Doctrine;High;M52047;x
52109;Chief of Air Force;Shen Honglie;41;SC;Naval Aviation Doctrine;Very High;M52109;x
52111;Chief of Air Force;Wang Shuming;45;SC;Vertical Envelopment Doctrine;High;M52054;x
52112;Chief of Air Force;Qian Dajun;39;SL;Carpet Bombing Doctrine;Very High;M52090;x
52113;Chief of Air Force;Chen Changchu;39;PA;Army Aviation Doctrine;Low;M52020;x
52114;Head of Government;Yen Hsi-shan;49;SC;Old General;High;M52114;x
52115;Head of Government;Ch'en Ch'eng;50;SC;Political Protege;High;M52115;x
