Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Papakonstinou;931522;U09;1940;1990;1990;1990;3;4;0;0;0;4;0;L31522;1940;1960;x
Paraskevopoulos;931523;U09;1930;1930;1930;1990;1;5;513;1;0;3;0;L31523;1930;1960;x
Pitsikas;931524;U09;1937;1941;1990;1990;2;5;32;1;0;4;0;L31524;1937;1960;x
Roussopoulos;931525;U09;1930;1990;1990;1990;3;3;1;0;0;2;0;L31525;1930;1960;x
Sarafis;931526;U09;1939;1942;1944;1990;1;3;16;2;0;1;0;L31526;1939;1960;x
Stanotas;931527;U09;1930;1990;1990;1990;3;3;0;0;0;3;0;L31527;1930;1960;x
Stephanakos;931528;U09;1930;1990;1990;1990;3;3;0;0;0;2;0;L31528;1930;1960;x
Stergiopoulos;931529;U09;1930;1990;1990;1990;3;3;0;0;0;2;0;L31529;1930;1960;x
Stimachos;931530;U09;1942;1945;1990;1990;3;4;1;1;0;4;0;L31530;1942;1960;x
Triantafyllidis;931531;U09;1930;1990;1990;1990;3;3;256;0;0;2;0;L31531;1930;1960;x
Tsigantes;931532;U09;1930;1990;1990;1990;3;3;128;0;0;2;0;L31532;1930;1960;x
Tsolakoglou;931533;U09;1930;1930;1940;1990;1;5;2;1;0;1;0;L31533;1930;1960;x
Urachnos;931535;U09;1930;1930;1990;1990;2;4;514;1;0;4;0;L31535;1930;1960;x
Vlahopoulos;931536;U09;1930;1930;1930;1990;1;5;516;1;0;3;0;L31536;1930;1960;x
Zegouris;931537;U09;1939;1942;1946;1990;2;4;1;2;0;5;0;L31537;1939;1960;x
Zervas;931538;U09;1939;1942;1990;1990;2;5;17;1;0;3;0;L31538;1939;1960;x
Zoiopoulos;931539;U09;1938;1990;1990;1990;3;3;4;0;0;4;0;L31539;1938;1960;x
Gousis;931540;U09;1945;1990;1990;1990;3;3;0;0;0;3;1;L31540;1945;1960;x
Koumas;931541;U09;1930;1944;1990;1990;3;4;0;1;0;4;1;L31541;1930;1960;x
Miaoulis;931542;U09;1942;1990;1990;1990;3;3;0;0;0;3;1;L31542;1942;1960;x
Oikonomou;931543;U09;1943;1946;1990;1990;2;4;0;1;0;3;1;L31543;1943;1960;x
Saxinis;931545;U09;1930;1990;1990;1990;3;3;0;0;0;4;1;L31545;1930;1960;x
Saxtourkis;931546;U09;1938;1944;1990;1990;2;4;0;1;0;4;1;L31546;1938;1960;x
Votsis;931548;U09;1930;1930;1990;1990;2;5;4608;1;0;5;1;L31548;1930;1960;x
Voulgaris;931549;U09;1937;1942;1945;1990;2;4;0;2;0;4;1;L31549;1937;1960;x
Anagnostopoulos;931550;U09;1940;1990;1990;1990;3;3;0;0;0;4;2;L31550;1940;1960;x
Geanados;931552;U09;1930;1939;1990;1990;2;3;8192;1;0;4;2;L31552;1930;1960;x
Kaleandros;931553;U09;1945;1990;1990;1990;3;3;0;0;0;4;2;L31553;1945;1960;x
Katassos;931554;U09;1930;1990;1990;1990;3;3;0;0;0;4;2;L31554;1930;1960;x
Kellas;931555;U09;1944;1990;1990;1990;3;3;4096;0;0;4;2;L31555;1944;1960;x
Palitseas;931556;U09;1939;1990;1990;1990;3;3;0;0;0;4;2;L31556;1939;1960;x
Papagos;931557;U09;1930;1930;1930;1990;1;3;512;1;0;4;2;L31557;1930;1960;x
Papanikolaou;931558;U09;1944;1946;1990;1990;2;3;0;1;0;4;2;L31558;1944;1960;x
Perrikos;931559;U09;1938;1990;1990;1990;3;3;0;0;0;4;2;L31559;1938;1960;x
Stathakis;931560;U09;1930;1990;1990;1990;3;3;0;0;0;4;2;L31560;1930;1960;x
Theodoropoulos;931561;U09;1938;1990;1990;1990;3;3;0;0;0;4;2;L31561;1938;1960;x
Bakopoulos;931562;U09;1930;1937;1990;1990;2;3;1;1;0;5;0;L31562;1930;1960;x
Spiliotopoulos;931563;U09;1937;1942;1945;1990;2;4;4;2;0;5;0;L31563;1937;1960;x
