Mondragón;170066;MEX;1900;1935;1935;1935;3;5;0;2;0;4;0;903;1900;1935;x
Orozco;170067;MEX;1913;1935;1935;1935;3;5;273;2;0;4;0;904;1913;1916;x
Tellez;170068;MEX;1908;1935;1935;1935;3;5;0;2;0;4;0;905;1908;1935;x
Trevino;170069;MEX;1897;1897;1935;1935;3;4;512;2;0;4;0;906;1897;1918;x
Cosio;170070;MEX;1897;1897;1897;1935;3;5;512;2;0;4;0;907;1897;1916;x
Bravo;170071;MEX;1897;1897;1905;1935;3;5;512;3;0;4;0;908;1897;1915;x
Díaz P.;170072;MEX;1897;1897;1897;1897;3;4;514;3;0;4;0;909;1897;1912;x
Berriozabal;170073;MEX;1897;1897;1897;1935;3;4;514;2;0;4;0;910;1897;1900;x
Carranza V.;170074;MEX;1915;1915;1915;1935;3;5;0;2;0;4;0;911;1915;1935;x
Obregón;170075;MEX;1915;1915;1920;1935;3;6;0;4;0;4;0;912;1915;1935;x
Gonzáles P.;170076;MEX;1915;1935;1935;1935;3;4;0;1;0;4;0;913;1915;1935;x
Alvarado;170077;MEX;1915;1935;1935;1935;3;4;0;1;0;4;0;914;1915;1935;x
Cárdenas;170078;MEX;1915;1920;1935;1935;3;4;0;1;0;4;0;915;1915;1935;x
Carranza A.S.;170079;MEX;1915;1935;1935;1935;3;3;0;0;0;4;2;916;1915;1935;x
Carranza E.;170080;MEX;1915;1935;1935;1935;3;3;0;0;0;4;2;917;1915;1935;x
Maciel;170081;MEX;1917;1935;1935;1935;3;5;0;2;0;5;0;918;1917;1935;x
Madero E.;170082;MEX;1910;1935;1935;1935;3;5;0;2;0;5;0;919;1910;1913;x
Aguilar;170083;MEX;1897;1911;1914;1935;3;4;514;2;0;4;0;920;1897;1920;x
Castañares;170084;MEX;1904;1912;1914;1935;3;4;0;2;0;4;0;921;1904;1925;x
Villar;170085;MEX;1897;1911;1935;1935;3;4;512;2;0;4;0;922;1897;1914;x
Escandón y Barrón;170086;MEX;1897;1911;1935;1935;3;4;512;2;0;4;0;923;1897;1922;x
Peña;170087;MEX;1897;1911;1935;1935;3;4;512;2;0;4;0;924;1897;1914;x
Rios;170088;MEX;1915;1917;1935;1935;3;4;0;3;0;4;0;925;1915;1935;x
Medinaveytia;170089;MEX;1920;1935;1935;1935;3;4;0;1;0;4;0;926;1920;1935;x
Gonzalez;170090;MEX;1920;1935;1935;1935;3;4;0;1;0;4;0;927;1920;1935;x
Gonzalez Garza;170091;MEX;1915;1915;1935;1935;3;4;0;1;0;4;0;928;1915;1935;x
Monasterio;170092;MEX;1900;1914;1935;1935;3;4;0;2;0;4;1;929;1900;1915;x
Argumedo;170093;MEX;1913;1914;1935;1935;3;4;0;2;0;4;0;930;1913;1916;x
Santiago;170094;MEX;1915;1915;1935;1935;3;4;0;1;0;4;0;931;1915;1935;x
Rabago;170095;MEX;1913;1935;1935;1935;3;4;0;2;0;4;0;932;1913;1914;x
Garmendia;170096;MEX;1911;1935;1935;1935;3;4;0;2;0;4;0;933;1911;1913;x
Malpica;170097;MEX;1911;1935;1935;1935;3;4;0;2;0;4;1;934;1911;1913;x
Gonzalez M.A;170098;MEX;1915;1920;1935;1935;3;4;0;1;0;4;0;935;1915;1935;x
Robles V.A;170099;MEX;1915;1920;1935;1935;3;4;0;1;0;4;0;936;1915;1935;x
Cabral;170100;MEX;1915;1920;1935;1935;3;4;0;2;0;4;0;937;1915;1935;x
Adams;575001;MEX;1940;1942;1990;1990;2;4;64;1;0;5;0;L572000;1940;1960;x
Andreotti;575002;MEX;1944;1990;1990;1990;3;5;128;0;0;5;0;L572001;1944;1960;x
Barker;575003;MEX;1941;1990;1990;1990;3;5;256;0;0;5;0;L572002;1941;1960;x
Barlow;575004;MEX;1942;1946;1990;1990;2;5;128;1;0;5;0;L572003;1942;1960;x
Barrow;575005;MEX;1943;1990;1990;1990;3;3;0;0;0;5;0;L572004;1943;1960;x
Bodin;575006;MEX;1939;1942;1990;1990;2;5;128;1;0;5;0;L572005;1939;1960;x
Bozeman;575007;MEX;1940;1990;1990;1990;3;4;32;0;0;5;0;L572006;1940;1960;x
Burgin;575008;MEX;1938;1942;1990;1990;2;5;16;1;0;5;0;L572007;1938;1960;x
Byrne;575009;MEX;1938;1941;1943;1990;1;6;1;2;0;5;0;M572027;1938;1960;x
Cannon;575010;MEX;1930;1930;1990;1990;2;6;1;0;0;5;0;L572009;1930;1960;x
Cozine;575011;MEX;1940;1990;1990;1990;3;5;256;0;0;5;0;L572010;1940;1960;x
Davies;575012;MEX;1938;1943;1990;1990;2;4;1;1;0;5;0;L572011;1938;1960;x
Forbes;575013;MEX;1930;1930;1930;1990;1;7;516;1;0;5;0;L572012;1930;1943;x
Gibson;575014;MEX;1939;1941;1990;1990;2;5;2;1;0;5;0;L572013;1939;1960;x
Gidley;575015;MEX;1941;1943;1990;1990;2;5;1;1;0;5;0;L572014;1941;1960;x
Glucas;575016;MEX;1939;1942;1990;1990;2;6;4;1;0;5;0;L572015;1939;1960;x
Halverson;575017;MEX;1942;1990;1990;1990;3;6;128;0;0;5;0;L572016;1942;1960;x
Hartnett;575018;MEX;1939;1942;1990;1990;2;6;0;1;0;5;0;M572026;1939;1960;x
Iffland;575019;MEX;1939;1990;1990;1990;3;4;64;0;0;5;0;L572018;1939;1960;x
James;575020;MEX;1930;1930;1938;1990;1;7;5;1;0;5;0;M572008;1930;1960;x
Lotz;575021;MEX;1930;1939;1990;1990;2;6;4;1;0;5;0;L572020;1930;1960;x
Lowenberg;575022;MEX;1941;1990;1990;1990;3;3;0;0;0;5;0;L572021;1941;1960;x
Minetti;575023;MEX;1942;1990;1990;1990;3;5;128;0;0;5;0;L572022;1942;1960;x
Moore;575024;MEX;1939;1941;1990;1990;2;5;256;1;0;5;0;L572023;1939;1960;x
Owens;575025;MEX;1942;1990;1990;1990;3;3;0;0;0;5;0;L572024;1942;1960;x
Ragsdale;575026;MEX;1940;1990;1990;1990;3;4;32;0;0;5;0;L572025;1940;1960;x
Rataczak;575027;MEX;1942;1990;1990;1990;3;5;4;0;0;5;0;L572026;1942;1960;x
Read;575028;MEX;1942;1990;1990;1990;3;4;2;0;0;5;0;L572027;1942;1960;x
Rees;575029;MEX;1942;1990;1990;1990;3;5;256;0;0;5;0;L572028;1942;1960;x
Rodriguez;575030;MEX;1941;1990;1990;1990;3;3;1;0;0;5;0;L572029;1941;1960;x
Scoggins;575031;MEX;1942;1990;1990;1990;3;5;4;0;0;5;0;L572030;1942;1960;x
Taylor;575032;MEX;1938;1942;1944;1990;1;6;4;2;0;5;0;L572031;1938;1960;x
Tempest;575033;MEX;1930;1990;1990;1990;3;4;256;0;0;5;0;L572032;1930;1943;x
Temple;575034;MEX;1930;1930;1940;1990;1;6;4;1;0;5;0;M572007;1930;1960;x
Testa;575035;MEX;1938;1942;1990;1990;2;6;4;1;0;5;0;L572034;1938;1960;x
Whinnery;575036;MEX;1943;1990;1990;1990;3;4;256;0;0;5;0;L572035;1943;1960;x
Worley;575037;MEX;1930;1930;1940;1990;1;5;1;1;0;5;0;L572036;1930;1960;x
Andrews;575038;MEX;1938;1990;1990;1990;3;6;1024;0;0;5;1;L572037;1938;1960;x
Cullen;575039;MEX;1938;1990;1990;1990;3;4;0;0;0;5;1;L572038;1938;1960;x
Dorman;575040;MEX;1939;1990;1990;1990;3;6;4096;0;0;5;1;M572028;1939;1960;x
Jardine;575041;MEX;1930;1930;1990;1990;2;4;0;1;0;5;1;L572040;1930;1960;x
McCall;575042;MEX;1940;1990;1990;1990;3;5;1024;0;0;5;1;L572041;1940;1960;x
Olmstead;575043;MEX;1930;1990;1990;1990;3;5;4096;0;0;5;1;L572042;1930;1960;x
Reeves;575044;MEX;1930;1930;1930;1930;0;8;512;3;0;5;1;L60458;1930;1944;x
Richardson;575045;MEX;1930;1930;1939;1990;1;6;8192;1;0;5;1;L572044;1930;1960;x
Rollins;575046;MEX;1930;1942;1990;1990;2;4;2048;1;0;5;1;L572045;1930;1960;x
Ward;575047;MEX;1930;1930;1940;1990;1;6;0;1;0;5;1;L572046;1930;1960;x
Adamson;575048;MEX;1930;1930;1990;1990;2;5;8192;0;0;5;2;L572047;1930;1960;x
Alons;575049;MEX;1943;1990;1990;1990;3;5;32768;0;0;5;2;L572048;1943;1960;x
Bath;575050;MEX;1943;1990;1990;1990;3;5;0;0;0;5;2;L572049;1943;1960;x
Cherry;575051;MEX;1930;1990;1990;1990;3;5;4096;0;0;5;2;L572050;1930;1960;x
de Angelis;575052;MEX;1930;1990;1990;1990;3;5;4096;0;0;5;2;L572051;1930;1960;x
Green;575053;MEX;1942;1990;1990;1990;3;4;0;0;0;5;2;L572052;1942;1960;x
Legowik;575054;MEX;1930;1938;1942;1990;1;6;0;2;0;5;2;M572010;1930;1960;x
Rosenfeld;575055;MEX;1940;1990;1990;1990;3;4;0;0;0;5;2;L572054;1940;1960;x
Shoopman;575056;MEX;1939;1941;1990;1990;2;5;4096;1;0;5;2;M572029;1939;1960;x
Tempest;575057;MEX;1930;1990;1990;1990;3;5;65536;0;0;5;2;L572032;1930;1943;x
Tooney;575058;MEX;1939;1990;1990;1990;3;4;16384;0;0;5;2;L572057;1939;1960;x
Whinnery;575059;MEX;1943;1990;1990;1990;3;4;0;0;0;5;2;L572035;1943;1960;x
van Dyke;575060;MEX;1943;1990;1990;1990;3;6;0;0;0;5;2;L572059;1943;1960;x
